seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
1,27.851298969298835,19.999779696050282,19.383076803921536,91.0787869614799,0.0022871955181608824,0.0016005255953706731,0.0016338852948902438,0.0071315121460280755,4.468048227998224,,,,,,deltaRIC0,FGO-B
2,34.529391662786125,32.14151733424326,12.617517666111011,58.484588317485766,0.0022775570209508894,0.002098148737573025,0.0008860236219782252,0.004929553639115922,4.508647304999613,,,,,,deltaRIC0,FGO-B
3,33.959898677026864,30.363696099856124,15.209230003833625,92.81096090770968,0.0024082583626381,0.0019127087063072314,0.0014633023426595274,0.00772829032056199,7.315917316998821,,,,,,deltaRIC0,FGO-B
4,24.76985638123798,21.626495029454716,12.076443925598555,67.89922299071783,0.002178217699254052,0.0017585601001157746,0.001285339923765076,0.006457975179366179,4.505981447997328,,,,,,deltaRIC0,FGO-B
5,26.022801466563845,20.854139049169,15.565702062101867,76.45997037009089,0.002323254347652652,0.0017564012929261986,0.0015207120904675308,0.007199850557365853,7.509518309998384,,,,,,deltaRIC0,FGO-B
6,27.76847903600214,21.842392039265526,17.146379733807386,87.71773976517362,0.0022531272813164807,0.0016721405061129954,0.0015101419382391743,0.007042646901526335,4.514946667000913,,,,,,deltaRIC0,FGO-B
7,29.765852932441305,23.984800197511852,17.627687320835935,96.8174106476919,0.0022274154711687333,0.0015743978258793143,0.0015756430963477482,0.00772914600811538,7.835897781998938,,,,,,deltaRIC0,FGO-B
8,32.92783676570318,26.068514916149223,20.116534595583285,107.79161837018961,0.0026152472620190425,0.0018588908394416546,0.0018395768775829944,0.008697973488412397,4.3399544679996325,,,,,,deltaRIC0,FGO-B
9,28.834132176975,25.267545902777186,13.89094318073157,67.81318031837861,0.0020449049230040076,0.0016195305951242818,0.0012485018204161404,0.006145779030476229,4.334006348999537,,,,,,deltaRIC0,FGO-B
10,29.947760972610023,26.857615269956497,13.24903352262283,75.43022398161824,0.0022921595027952024,0.0018568394101790816,0.0013439280453432577,0.006428170965806238,5.0854731850013195,,,,,,deltaRIC0,FGO-B
