config,mode,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
deltaRIC0,EKF-B,50,238.0313028267579,48.58036936985802,0.1502505431345298,0.05369746007552139,0.8584005389202503,0.008209663644355452,,,,,,,,
deltaRIC0,EKF-G,50,267.99431364967995,50.634545156454806,0.15365448802703513,0.053268506059488116,1.3031854966000538,0.01565708616401349,0.006443566964648274,0.005153760619034769,-0.001587668713316259,0.0006114590949219971,0.0015034767003972926,-13.35460576252619,125.56537802604255,125.01870408350507
deltaRIC1,EKF-B,50,16992.209829735733,11.459508253123158,1.6795808366619571,0.0056392410482512135,0.8655112350803392,0.008608395386579122,,,,,,,,
deltaRIC1,EKF-G,50,274.6099120310203,49.15467120321902,0.1631167007351562,0.05095275293920989,1.309190371699806,0.01399336743135283,0.16072278934914735,0.1581099665026186,-0.06442095723312918,-0.05830298149078697,-0.057871393623874105,-13.325241800578079,31.792005248005736,34.17717125186508
deltaRIC0.5,EKF-B,50,8519.980448572842,11.344713726441661,0.852943586475018,0.01108387107948042,0.8655413619202591,0.009489160733532896,,,,,,,,
deltaRIC0.5,EKF-G,50,271.6017091653601,50.40672549792469,0.1563784109984666,0.05222799102510981,1.3062499652998667,0.015287338279101422,0.06315116120336478,0.058274529915652566,-0.014346852432656387,-0.010274730835822771,-0.01027896363779892,-15.922700884701626,35.24195162968053,38.34954569534097
deltaRIC0.5_short,EKF-B,50,2548.477301701327,232.73490925097616,0.8707234703652894,0.07927575205712689,0.11337556236045203,0.0011450662908616184,,,,,,,,
deltaRIC0.5_short,EKF-G,50,663.7478415728024,167.43011502132092,0.43899518449947267,0.14225373786813472,0.17021836300002177,0.0018142606058185085,0.08981910104115073,0.04541239676601912,0.021707494009427387,-0.0018071257951942853,-0.0082270107917669,17.524702077227683,82.15466681054227,83.19565298783212
deltaI0.2,EKF-B,50,3896.3100122703445,10.400730450349169,0.3935778184493182,0.023387970986407602,0.8650993547998224,0.012278869423799847,,,,,,,,
deltaI0.2,EKF-G,50,268.60977019697225,51.18018418640941,0.15381835816668088,0.05318519480368701,1.3031396448198211,0.015649885518495117,0.009741272602972743,0.008204047234132053,-0.002150834319148698,0.00142619632514206,0.0013284279578446927,-29.33617287451183,113.35735130102377,115.9892337720501
deltaC0.2,EKF-B,50,975.6874442125958,13.24870613002216,0.17301723348044612,0.04781921975597956,0.8654629101001774,0.007672313979627919,,,,,,,,
deltaC0.2,EKF-G,50,268.0274701019563,50.789297179544974,0.15379794182265102,0.05319068557626376,1.3042790856997453,0.017142589514210087,0.009395305968290637,0.007538069201001097,-0.0004422880995215657,0.0021006410097844557,0.001678936993750572,-11.010607058464666,87.49044039264294,87.30818452294461
