seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
1,36.447455874203065,26.050167530941486,25.49128892998276,120.38060328552065,0.0030135599626185086,0.0021081447838780833,0.0021534319628223448,0.00941457945364868,2.8408037070003047,,,,,,deltaRIC0,BLS-B
2,42.14511663883981,38.31429427994394,17.556358116969125,85.5377314160273,0.0028870029228627125,0.0025420211192078487,0.0013685446671991093,0.007323084273803716,2.6792981080034224,,,,,,deltaRIC0,BLS-B
3,39.375337756627324,34.46837822014857,19.035443948625662,110.91872035610753,0.0028741066734453273,0.0022247546258344934,0.0018196032603760043,0.009150925811605886,2.652619524000329,,,,,,deltaRIC0,BLS-B
4,34.41093814749719,29.308383712376266,18.03139784817014,93.70665492194696,0.0029376877713406507,0.0023160187210306384,0.0018072262519452302,0.008481208434357535,2.8153352520021144,,,,,,deltaRIC0,BLS-B
5,33.28567195025407,26.896840767792014,19.60856735949805,92.69936822250634,0.002876290623831021,0.0021724912370272675,0.0018850277392595514,0.008434685837916749,2.6973387409998395,,,,,,deltaRIC0,BLS-B
6,34.26386983431722,27.33089785983477,20.664820304041175,105.61538049715708,0.002756972791199342,0.002044904988626582,0.0018491248089038256,0.008407222920596664,2.663124804999825,,,,,,deltaRIC0,BLS-B
7,39.50153853782202,30.644007553377897,24.926218083045743,129.93827327110685,0.0030386691638645664,0.002147106575679981,0.0021502194399858755,0.010201274573172677,2.705727456999739,,,,,,deltaRIC0,BLS-B
8,38.62898142259613,29.658435394760314,24.750260921495453,128.03662285126657,0.003129699054824815,0.002203056215004813,0.0022229618726599884,0.010382309813816652,3.5822591699979967,,,,,,deltaRIC0,BLS-B
9,34.60960805913403,30.214420662057844,16.87938843865758,82.83464436956316,0.0025041461853440245,0.0019565464568701593,0.0015629056528408407,0.007446093616231092,3.567987112000992,,,,,,deltaRIC0,BLS-B
10,38.137607396737394,32.22315180606114,20.399646703588214,103.2273595005883,0.0029939042862379005,0.002330347826044858,0.001879612163400119,0.008518210610198109,3.9396534110019275,,,,,,deltaRIC0,BLS-B
11,35.56863727543185,27.50171250928057,22.556235649773672,116.68668335095592,0.0031531123909609407,0.002447657658162785,0.0019877348259937726,0.009384946631754876,2.8032812960009323,,,,,,deltaRIC0,BLS-B
12,35.25269045128381,29.362018286618728,19.509589083071543,92.42056703469383,0.0028083177862160253,0.002169523660454028,0.0017832038232090664,0.007971798249957791,2.709942258999945,,,,,,deltaRIC0,BLS-B
13,35.979466832914646,28.350852680449634,22.152904682507145,106.84538854975044,0.0033313817017253697,0.002683501290749448,0.001974063034742475,0.008950289686262337,2.666553031998774,,,,,,deltaRIC0,BLS-B
14,35.360247713337436,29.164197920137596,19.99491630449168,112.36018760927054,0.0029527508147901733,0.002273524600987553,0.001884097466414204,0.009071499988627357,2.6934397719996923,,,,,,deltaRIC0,BLS-B
15,36.994502667814245,31.904017595413706,18.72770378104182,99.65515648639769,0.003214703110661774,0.002611333943155837,0.001874900297888044,0.008676490798995474,2.6718282439978793,,,,,,deltaRIC0,BLS-B
16,36.55663670560428,26.456470294408206,25.227819303035886,123.17793919515007,0.003176090076668913,0.0023142784333429634,0.0021752387243882867,0.00990727649702042,2.6999435519974213,,,,,,deltaRIC0,BLS-B
17,39.67815582003879,36.39743138988982,15.79819728632165,98.32862171763266,0.002963172855629345,0.0025998342329371896,0.001421708596578942,0.007420282800831573,2.677340213002026,,,,,,deltaRIC0,BLS-B
18,35.77444944194323,30.992586037684358,17.868151655134486,103.22807088915147,0.003058077656404656,0.002462000544090082,0.001813943845189683,0.008951578114917832,2.6612444229976973,,,,,,deltaRIC0,BLS-B
19,36.356597888900296,31.12031846781002,18.797020735139704,110.16883577855916,0.002743272092497824,0.0021003382561100054,0.0017646872197072691,0.009008911243709184,2.6680358830017212,,,,,,deltaRIC0,BLS-B
20,38.245514238020235,31.908689038910264,21.084471137515788,120.97770527884366,0.003266821339612934,0.0025208981816449384,0.002077785846214592,0.010168439252855595,2.6996378270014247,,,,,,deltaRIC0,BLS-B
