config,mode,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
deltaRIC0,FGO-B,50,29.480525982775898,3.28894850141642,0.0023760857981719053,0.00023061992987333444,6.2091098147996675,6.3973568987547536,,,,,,,,
deltaRIC0,FGO-G,50,23.809446967907057,5.816994600623668,0.0019068021099841207,0.0004451273357044092,8.797518426200114,7.520912723405602,0.0032807215964588674,0.00140780344404488,-0.0007533689922399213,0.0014442438556474617,0.0007688309994277231,-14.97515634807016,123.73601544561525,123.40439536596551
deltaRIC1,FGO-B,50,12986.858006047534,2.0441820883198916,1.1083642351156024,0.00028069548202848323,5.607210100980228,1.3342979110841915,,,,,,,,
deltaRIC1,FGO-G,50,24.624447564112202,5.803073963475539,0.02905959669677594,0.0022399018371806246,20.245310804019972,20.024390875910964,0.0034511179321124697,0.0016685610007205944,-0.0011197788195111168,0.0012610949840468643,0.0007691127749580495,-5.453977430462691,15.119558277479207,15.93031360231068
deltaRIC0.5,FGO-B,50,6500.781059489955,2.0461696987352376,0.5548608691633536,0.00028082783935043734,8.99321773998061,11.970816919154693,,,,,,,,
deltaRIC0.5,FGO-G,50,24.504474191146727,5.848523914322075,0.015471574294080352,0.002320066193980969,16.054667506459808,11.82992473699273,0.0034293854006998054,0.0016701662186311384,-0.0011108846306781017,0.0012434666345410217,0.0007558986403215962,-10.906800617780974,29.677706888531702,31.33862249931221
deltaRIC0.5_short,FGO-B,50,1961.0430210946538,91.12955045031812,0.5861379747201751,0.01023313554428357,0.9539819902000454,1.17597467791197,,,,,,,,
deltaRIC0.5_short,FGO-G,50,827.8006448534625,1402.4914275861681,0.1494768079777332,0.18777118740441684,7.31535408982003,6.111203415943615,0.08591396781977373,0.04679635966321942,0.022617678296772237,0.005193940027479167,0.0016045427426005466,21.47925382128913,69.68449169357405,72.25073120501493
deltaI0.2,FGO-B,50,2641.8014933993,2.1623037188102106,0.21016679372575872,0.0002665347068005931,7.147353180579958,5.922532011192242,,,,,,,,
deltaI0.2,FGO-G,50,24.132941633531132,5.868257700531587,0.005407198621664075,0.0019205530432024184,9.589557872479928,2.722475595341282,0.0038865684876797507,0.002140867239842345,-0.0014859757634745922,0.0014559225658821074,0.0007677727673132794,-34.20884493083067,112.26675813818434,116.28410705983019
deltaC0.2,FGO-B,50,937.7759272498681,0.1547013407897398,0.0704440154941939,0.00011918273468248793,6.947082094960206,8.942799984136244,,,,,,,,
deltaC0.2,FGO-G,50,24.29945535923738,5.712209085593696,0.004636549322285912,0.0010799007185046483,10.834302256760129,3.118023730118718,0.003273044590821953,0.0014098341384621194,-0.0007447755503659539,0.0014471847231000592,0.0007616816621549699,-14.68002941984989,70.543948324247,71.3612145078698
