config,mode,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
deltaRIC0,BLS-B,50,36.851743565254935,2.222691287934888,0.0029779242547305386,0.00019638303444774658,2.956555367160181,0.473471575656279,,,,,,,,
deltaRIC0,BLS-G,50,23.854796056151613,5.806714821332412,0.0019137272747930683,0.0004436208084717399,5.626275009120581,0.5366939661443425,0.0032862644189329414,0.001416007397953311,-0.0007838170486977289,0.0014467027201148252,0.000770355784787879,-14.964976459866884,123.7386450872531,123.40574444778888
deltaRIC1,BLS-B,50,16133.2404412518,0.8948281417510426,1.346692127214303,0.00023105177183765796,4.83672362162004,6.330607438736624,,,,,,,,
deltaRIC1,BLS-G,50,24.65236940489624,5.789038556658198,0.029064205386559735,0.002242546949209515,5.588764804699749,0.720463316717994,0.0034565568288919225,0.0016800904713043536,-0.0011423369015507712,0.0012613192870277424,0.0007700539576762599,-5.476224851903389,15.1418216070322,15.958643581965472
deltaRIC0.5,BLS-B,50,8080.569947947373,0.8928555020593204,0.6745471017623843,0.0002310527973464747,4.774865753439953,5.184197065575624,,,,,,,,
deltaRIC0.5,BLS-G,50,24.532986038887916,5.835460989756228,0.015477246908406026,0.002321635486470167,5.662795139560258,0.5291795714191917,0.0034348074624273904,0.0016810214964688881,-0.0011335778012516817,0.0012438834132929666,0.0007569064282490746,-10.949154693895835,29.718223509911898,31.390975469460006
deltaRIC0.5_short,BLS-B,50,1961.053457489732,91.12986138331458,0.5861415536017833,0.010233111261673861,0.5384366467200743,0.7122050948889254,,,,,,,,
deltaRIC0.5_short,BLS-G,50,272.2418112944681,127.98307448655852,0.07650543531597565,0.024709288990441804,0.7284999369003344,0.15619346882124968,0.08385403845351401,0.04567416205768479,0.0250180458558965,0.006411145579863276,0.00030836749065201065,14.30771148598422,68.45642245170471,69.26230394200515
deltaI0.2,BLS-B,50,3655.6492570460005,0.39904854745131935,0.2870964782355069,0.00020257415166531517,5.275728536759707,6.328695215214505,,,,,,,,
deltaI0.2,BLS-G,50,24.170344569902554,5.8594974664213515,0.005408439832871858,0.0019213006636880252,5.785769024420006,0.7071080872355984,0.00389050241143246,0.002143858989874184,-0.0015144618211725633,0.001457717967404618,0.0007693932881932716,-34.41758012574792,112.1588147473831,116.24361295460204
deltaC0.2,BLS-B,50,953.8692894042782,0.11422465038074552,0.07125097824939522,0.000120685667762852,2.7502070615998675,0.22831449681278518,,,,,,,,
deltaC0.2,BLS-G,50,24.34304935530806,5.701693751013062,0.004640748852232323,0.00107982117931365,6.4433899931598715,4.915746265273269,0.003278581042697287,0.001417950607581251,-0.0007755038592258291,0.0014497776438848367,0.0007629572645092886,-14.721665092071053,70.58444840367127,71.40902248599001
