tSec,x,y,z,vx,vy,vz,Unnamed: 7
3120,40932311.2851663,9483671.66326013,3586713.41236131,-690.631430798475,2987.04131491979,-60.5174310787709,
3180,40890481.8737224,9662802.83407246,3583048.05957064,-703.680095503075,2983.98818198907,-61.660803295183,
3240,40847869.9387864,9841749.10203827,3579314.13921937,-716.71550618974,2980.87789606565,-62.8030128381298,
3300,40804476.2829796,10020507.0396738,3575511.72171463,-729.737416887061,2977.71051385046,-63.9440381533908,
3360,40760301.7236747,10199073.2229287,3571640.87875621,-742.745581853094,2974.48609308939,-65.083857706902,
3420,40715347.0929821,10377444.2312487,3567701.68333533,-755.739755579575,2971.20469257242,-66.2224499851247,
3480,40669613.2377355,10555616.6476383,3563694.20973337,-768.719692796132,2967.86637213279,-67.3597934954154,
3540,40623101.0194775,10733587.058723,3559618.53352068,-781.685148474494,2964.47119264613,-68.4958667663948,
3600,40575811.3144452,10911352.0548125,3555474.7315552,-794.635877832706,2961.01921602958,-69.6306483483164,
3660,40527745.0135548,11088908.2299624,3551262.88198123,-807.571636339331,2957.51050524091,-70.7641168134358,
3720,40478903.0223872,11266252.1820372,3546983.06422805,-820.492179717655,2953.94512427759,-71.896250756379,
3780,40429286.2611718,11443380.5127723,3542635.35900858,-833.397263949891,2950.32313817585,-73.027028794511,
3840,40378895.6647714,11620289.8278364,3538219.84831801,-846.286645281378,2946.64461300978,-74.1564295683036,
3900,40327732.182666,11796976.7368937,3533736.6154324,-859.16008022478,2942.90961589034,-75.2844317417039,
3960,40275796.7789367,11973437.8536664,3529185.74490727,-872.017325564279,2939.1182149644,-76.4110140025016,
4020,40223090.4322493,12149669.7959962,3524567.32257613,-884.858138359771,2935.27047941375,-77.5361550626968,
4080,40169614.1358378,12325669.1859072,3519881.43554904,-897.682275951054,2931.36647945409,-78.6598336588672,
4140,40115368.897487,12501432.6496668,3515128.17221113,-910.489495962016,2927.40628633403,-79.7820285525355,
4200,40060355.7395159,12676956.8178489,3510307.62222107,-923.279556304823,2923.38997233403,-80.902718530536,
4260,40004575.6987599,12852238.3253949,3505419.87650955,-936.052215184099,2919.31761076537,-82.0218824053813,
4320,39948029.8265533,13027273.8116756,3500465.02727773,-948.807231101108,2915.18927596907,-83.1394990156289,
4380,39890719.1887112,13202059.9205533,3495443.16799568,-961.544362857929,2911.00504331481,-84.2555472262473,
4440,39832644.8655116,13376593.3004434,3490354.39340076,-974.263369561636,2906.76498919986,-85.3700059289821,
4500,39773807.9516767,13550870.6043759,3485198.79949601,-986.964010628464,2902.46919104792,-86.4828540427213,
4560,39714209.5563546,13724888.4900567,3479976.48354851,-999.646045787982,2898.11772730804,-87.5940705138614,
4620,39653850.8030996,13898643.6199299,3474687.54408773,-1012.30923508726,2893.71067745345,-88.703634316672,
4680,39592732.8298542,14072132.6612381,3469332.08090384,-1024.95333889502,2889.2481219804,-89.8115244536612,
4740,39530856.7889284,14245352.2860848,3463910.195046,-1037.57811790583,2884.73014240699,-90.9177199559402,
4800,39468223.8469811,14418299.171495,3458421.98882064,-1050.18333314423,2880.15682127201,-92.0221998835876,
4860,39404835.1849996,14590969.9994767,3452867.5657897,-1062.76874596887,2875.52824213366,-93.1249433260138,
4920,39340691.9982794,14763361.4570819,3447247.03076886,-1075.33411807673,2870.84448956843,-94.2259294023248,
4980,39275795.4964042,14935470.2364676,3441560.48982578,-1087.87921150719,2866.10564916976,-95.3251372616859,
5040,39210146.9032246,15107293.0349571,3435808.05027823,-1100.40378864624,2861.31180754688,-96.4225460836848,
5100,39143747.4568379,15278826.5551005,3429989.8206923,-1112.90761223057,2856.46305232347,-97.5181350786951,
5160,39076598.4095665,15450067.5047359,3424105.91088051,-1125.39044535174,2851.55947213642,-98.6118834882389,
5220,39008701.0279362,15621012.5970499,3418156.43189998,-1137.85205146032,2846.60115663452,-99.7037705853491,
5280,38940056.5926554,15791658.5506383,3412141.49605044,-1150.29219436998,2841.58819647714,-100.793775674932,
5340,38870666.3985924,15962002.0895668,3406061.21687242,-1162.71063826169,2836.52068333289,-101.881878094129,
5400,38800531.7547536,16132039.9434314,3399915.70914518,-1175.10714768777,2831.39870987832,-102.968057212678,
5460,38729653.9842609,16301768.847419,3393705.08888487,-1187.48148757606,2826.22236979649,-104.052292433275,
5520,38658034.4243293,16471185.5423675,3387429.47334245,-1199.83342323401,2820.99175777566,-105.134563191936,
5580,38585674.4262439,16640286.7748264,3381088.98100171,-1212.16272035284,2815.70696950786,-106.214848958355,
5640,38512575.3553365,16809069.2971167,3374683.73157724,-1224.46914501159,2810.36810168747,-107.293129236267,
5700,38438738.5909625,16977529.8673911,3368213.84601239,-1236.75246368127,2804.97525200983,-108.369383563808,
5760,38364165.5264774,17145665.249694,3361679.44647716,-1249.01244322896,2799.52851916979,-109.443591513873,
5820,38288857.5692124,17313472.2140214,3355080.65636614,-1261.24885092189,2794.02800286026,-110.515732694475,
5880,38212816.1404507,17480947.536381,3348417.60029636,-1273.46145443155,2788.47380377069,-111.585786749107,
5940,38136042.675403,17648087.9988513,3341690.4041052,-1285.65002183779,2782.86602358567,-112.653733357099,
6000,38058538.6231827,17814890.3896422,3334899.19484816,-1297.8143216329,2777.20476498337,-113.719552233976,
6060,37980305.4467814,17981351.5031537,3328044.10079673,-1309.95412272567,2771.49013163401,-114.783223131816,
6120,37901344.6230433,18147468.1400359,3321125.25143617,-1322.06919444553,2765.72222819837,-115.84472583961,
6180,37821657.6426405,18313237.1072481,3314142.77746328,-1334.15930654657,2759.90116032624,-116.904040183613,
6240,37741246.0100468,18478655.2181184,3307096.81078416,-1346.22422921165,2754.0270346548,-117.961146027712,
6300,37660111.2435118,18643719.2924025,3299987.48451194,-1358.26373305643,2748.0999588071,-119.016023273769,
6360,37578254.8750356,18808426.1563432,3292814.93296449,-1370.27758913347,2742.12004139045,-120.06865186199,
6420,37495678.4503416,18972772.6427292,3285579.2916621,-1382.2655689363,2736.08739199477,-121.119011771271,
6480,37412383.5288503,19136755.5909538,3278280.69732518,-1394.22744440341,2730.00212119103,-122.167083019561,
6540,37328371.6836525,19300371.8470743,3270919.28787185,-1406.16298792237,2723.86434052952,-123.21284566421,
