seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,sweep,sweep_value
1,37.32716969551287,31.89821333307396,19.386118323050574,82.93469555574822,0.014244164634068655,0.010701920738186179,0.009400272263931126,0.33402622096551926,15.020798991998163,0.017928099118089902,0.018968839276304994,-0.004572848913052707,0.02649801027737657,8.556392501128357,sigma_r0,100.0
2,28.10268819508603,25.75598556982632,11.242343666563754,62.27867433812801,0.016135470759590355,0.007876378441887332,0.014082474188641983,0.5644795106802848,15.239381334002246,0.0027520063392798555,0.010053612571843451,0.013905339785592719,0.017378352602849124,-10.798520949107115,sigma_r0,100.0
3,22.676289972935177,19.641327874889264,11.332800459186526,66.4766397358381,0.011820590181577842,0.006807174109891453,0.009663784604306848,0.3790933669670329,14.52211003499906,0.02007362031715476,-0.0035378453315469405,-0.014920585517807394,0.02526045237958815,4.259046763298102,sigma_r0,100.0
4,21.014372812167036,17.88076462679137,11.040023598255202,48.12217199890987,0.012315595761074861,0.00734838566858746,0.009883072751725726,0.3787683886221159,14.545231252999656,0.0034379990315177578,-0.008606016539720318,0.004873995035249878,0.010470873202665439,4.489954500486419,sigma_r0,100.0
5,32.99405537438534,30.202966540002762,13.281133318790227,62.2166377641358,0.014747157835449552,0.009399444072102182,0.011363499256790765,0.4469855586614305,14.541755572998227,0.017202227912540224,0.01928281303152135,-0.001733647091624435,0.025898823444355255,-1.6745205532297405,sigma_r0,100.0
1,37.323906162549555,31.893778211568577,19.38713188230993,82.93387425303864,0.014243406093035397,0.010701094891608238,0.009400063045103154,0.3340282825774473,14.922349252999993,0.01792844062116239,0.018972381496946134,-0.004571410181095414,0.026500528934646425,8.556244316650918,sigma_r0,250.0
2,28.108385671281507,25.76135672147146,11.244280542329085,62.281314302109124,0.01613580012071616,0.00787672705154891,0.014082656585002039,0.5644839687474572,14.853625179002847,0.00275032033043654,0.01003915361538088,0.013894652587473355,0.017361170402936766,-10.799453588253527,sigma_r0,250.0
3,22.67243829417903,19.638123586928987,11.330646944806777,66.47431648879348,0.011819766542368378,0.006806048091062234,0.009663570276985573,0.37909128033704054,14.545730645997537,0.0200745342016857,-0.0035294279866558975,-0.014913474571971785,0.025255801494636593,4.259308229160524,sigma_r0,250.0
4,21.016999556289846,17.883066852458764,11.041294774598594,48.12013909274159,0.01231524905202472,0.007347629045004357,0.009883203257568073,0.378770978439374,14.566458728000725,0.003436985306917606,-0.008617225554697128,0.004866690819445352,0.010476360235910486,4.489533267058505,sigma_r0,250.0
5,32.99840188601328,30.20940134371059,13.277296316850878,62.21849836891863,0.014749138679482372,0.009402338158738473,0.011363675854904234,0.44699184416477034,14.525348687999212,0.017202142528820796,0.0192837856352307,-0.0017332512533650424,0.025899464394359327,-1.6749394427606603,sigma_r0,250.0
1,37.32706761846862,31.898750669536653,19.385037599046928,82.93327455964905,0.014244429975652643,0.010702222732403786,0.009400330521704607,0.33402818317289984,17.98292682900137,0.01792816975933198,0.01897132371300636,-0.004572045186262252,0.02649969795164328,8.556338217747907,sigma_r0,500.0
2,28.111573147649747,25.76488574953446,11.24416324806334,62.28038959069026,0.01613626645551791,0.007877579781115286,0.01408271393999169,0.564486100108063,14.898364103999484,0.0027499912512992664,0.010035935834674548,0.013896151302290938,0.017360457395359415,-10.79964763924545,sigma_r0,500.0
3,22.675760614622245,19.640918742110344,11.332450327156605,66.47665147990195,0.011820574896764052,0.006807328845050597,0.00966365691057741,0.3790907714645361,14.56570523100163,0.020073876703212035,-0.003536777920004397,-0.014917499408183765,0.02525868390364693,4.25920175691499,sigma_r0,500.0
4,21.01591807919952,17.881173352970702,11.042302850068712,48.11981540530108,0.012315071675427253,0.007347555629361851,0.00988303681285988,0.37877235356352346,14.540652473999216,0.003438149565280435,-0.008607439351149493,0.004873509894737116,0.010471866276412023,4.4894220764581405,sigma_r0,500.0
5,32.99330995150414,30.203186503039063,13.278781066749342,62.21581939630185,0.014747331567102895,0.009399735775039495,0.011363483432007646,0.44698598935001665,15.214546668998082,0.01720182878923071,0.019278747942249708,-0.0017356400980275688,0.025895665321916037,-1.6746007529327471,sigma_r0,500.0
1,37.328366060634394,31.89979992421506,19.385811243065643,82.93678976556765,0.014244143931758216,0.010701820402468892,0.00940035512211879,0.33402975674323804,14.58888416800255,0.01792805638939332,0.018965189349699818,-0.004573467633911366,0.02649547544713378,8.556026041100267,sigma_r0,1000.0
2,28.11231217542875,25.766281333467692,11.242812908403042,62.2781232369079,0.01613616247830206,0.007878095286104031,0.014082306422927626,0.5644712638322145,16.90312750299927,0.0027506999964835854,0.010038807535930228,0.01389781018852232,0.017363557678376256,-10.798237070062896,sigma_r0,1000.0
3,22.667278342986663,19.633699529338596,11.327989683526441,66.4787229764819,0.011819696043480694,0.006806141191030282,0.009663418476296787,0.37909348294387263,14.566022592000081,0.020075340258722263,-0.0035213883792062917,-0.01490712385580023,0.025251570332810044,4.259228886194251,sigma_r0,1000.0
4,21.012639175953748,17.877184940463756,11.042520715094083,48.11789625701114,0.012315191122465695,0.007348034628243885,0.00988282952827714,0.3787691085305717,14.529125050001312,0.003439180710519407,-0.008595629047137787,0.004879041526774985,0.010465077586697694,4.48989738497221,sigma_r0,1000.0
5,32.997317744650225,30.20643063332013,13.281360123715782,62.216851571339824,0.014747937696546233,0.009400661549812433,0.011363504245042,0.4469852256521075,18.9659451539992,0.017202611696964243,0.019287655093732425,-0.0017331785008443679,0.025902652295220707,-1.674344986800861,sigma_r0,1000.0
1,37.32816644777222,31.89881686045919,19.38704446932209,82.93426642789206,0.014244638368588742,0.010702317191806506,0.009400538759977185,0.3340296012307799,14.913897213002201,0.017928160983111674,0.018969284503356443,-0.004574012620354506,0.026498571702203287,8.55611066383608,sigma_r0,2000.0
2,28.108258434971656,25.761087202027596,11.244579957325456,62.28906035720178,0.016133620856572092,0.007876729827624931,0.014080157995073131,0.5643825959987357,15.464746746001765,0.002753393633583845,0.010041927558023689,0.01389950985873023,0.017367148870640642,-10.789980522795304,sigma_r0,2000.0
3,22.669717385635682,19.63537221135089,11.329971070850181,66.4760946327661,0.011819520777464102,0.006805691242600316,0.009663521000096133,0.37909149068281467,14.446984391001024,0.02007459674098344,-0.0035275621073788677,-0.01491616640763399,0.025257180148123164,4.259314415316112,sigma_r0,2000.0
4,21.010810826379085,17.875876760662184,11.04115943275462,48.121012773228536,0.01231574531468113,0.007348865065781208,0.009882902655648835,0.3787724126283215,14.429892737000046,0.0034393364249604153,-0.008592008017751784,0.004878342165625993,0.010461828669314697,4.489781511543697,sigma_r0,2000.0
5,32.998997197443096,30.210094332196853,13.27719912016931,62.21829827960597,0.014749138555765654,0.009402520685745064,0.01136352466848685,0.44698549546413474,15.120291670998995,0.017202123102857514,0.019281502903309433,-0.0017330780320120032,0.025897740305309204,-1.674504864591654,sigma_r0,2000.0
1,37.32304443804239,31.893877798473973,19.385309001924515,82.9358207481134,0.014243034312975243,0.01070088952933692,0.009399733492047401,0.33402544430421033,15.474302612998144,0.017928760740631766,0.01897593235544659,-0.004570184866691862,0.026503076428389272,8.55646762320066,sigma_r0,5000.0
2,28.10823018903187,25.761003227326096,11.244701733763202,62.2919314412938,0.01613384930224009,0.007876726603915305,0.01408042156025756,0.5643921741022792,15.101576019002096,0.0027531935111203554,0.01004257301950029,0.013901334920678576,0.01736895103161236,-10.790705966534006,sigma_r0,5000.0
3,22.672900885089255,19.638428410807066,11.331044263380445,66.47901304424933,0.011815234172503427,0.006805941935634005,0.009658100896132282,0.3788512494799055,14.793216318001214,0.020071361877895377,-0.0035391091641908123,-0.014917514375201113,0.025257020735704818,4.280333460133988,sigma_r0,5000.0
4,21.01630240410276,17.88247442758008,11.040927274809844,48.1215773361457,0.012315396893791568,0.007347788099451969,0.009883269231239378,0.3787756836510393,14.418445479001093,0.003437250484928933,-0.008615340734615562,0.004868913187639601,0.010475929672274495,4.489127688340886,sigma_r0,5000.0
5,32.99955331798005,30.209672634268596,13.279540598850977,62.218964356723006,0.014748854895292868,0.009402251329816945,0.011363379367659951,0.4469786609221502,17.46652827499929,0.017202598509016842,0.01928573505759179,-0.0017332195124839522,0.025901216613366036,-1.6739308341693686,sigma_r0,5000.0
1,37.332431483282775,31.903257333345394,19.387950174692183,82.93506985340159,0.014245619874149308,0.01070330857113519,0.009400897363008585,0.33402554187542605,17.869813262001117,0.01792773953931226,0.01896440823486889,-0.004574824660744992,0.026494936221186562,8.556314409463084,sigma_v0,0.1
2,28.111067599638805,25.764755475491988,11.24319780487599,62.27872233726364,0.016135909295577486,0.007877527092021523,0.014082334171207939,0.5644719985236142,17.11801475000175,0.002750644636704269,0.010038574955430368,0.013894112142819104,0.017360454639509214,-10.79852088046573,sigma_v0,0.1
3,22.674451043736834,19.639199389405242,11.332809778603144,66.48687222191553,0.011819824666403462,0.006806168098648669,0.00966355684815156,0.3790857938454144,14.422007950997795,0.020074291240546382,-0.003530527018256291,-0.01491363709808674,0.02525585796068595,4.25982898102302,sigma_v0,0.1
4,21.01056989440913,17.875389756611707,11.04148940755152,48.11978038426689,0.012319992466067825,0.007348665608549516,0.00988834304308308,0.3790168755995258,17.46284654899864,0.0034413585681137837,-0.008585099227762127,0.0048877810531083865,0.010461227517264757,4.468147159270302,sigma_v0,0.1
5,33.001317772015284,30.211234800798895,13.280371474493073,62.217970195955445,0.01474942377454685,0.009402754021286708,0.011363701795468964,0.446991732422108,18.436592128000484,0.01720275587598996,0.01928933783426301,-0.0017293477034109328,0.0259037450437679,-1.6747995048044686,sigma_v0,0.1
1,37.337431076919536,31.90561266229162,19.393701040996106,82.93465305746753,0.014247114947814669,0.01070439535824405,0.00940192556610865,0.3340277038063071,14.81106409199856,0.017926589796989578,0.018952172633905584,-0.004582581982094658,0.026486742474632646,8.556106683707185,sigma_v0,0.25
2,28.107243897160423,25.76068843593752,11.242957386782928,62.27780233482289,0.016136104704541517,0.007876921582711163,0.014082896769334993,0.5644954344764499,14.408397889001208,0.0027506651587535513,0.010044666515656164,0.013900283920128431,0.017368919865279643,-10.800351815132672,sigma_v0,0.25
3,22.67801143511775,19.642642303009236,11.333966913987501,66.48042389984238,0.011820246506314218,0.006806736102474329,0.009663672754253741,0.37908536911591983,14.404491133998818,0.020073427416191114,-0.0035389928981559016,-0.014919526925235849,0.025259834572679378,4.259760613615072,sigma_v0,0.25
4,21.01641672044994,17.883208688865277,11.039955559607169,48.11932932701692,0.012319984438998288,0.007347930664613125,0.00988887918447779,0.379022187875321,17.501967296997464,0.0034387094639632965,-0.008613053105580692,0.0048744310262472945,0.01047709331860446,4.467378647026635,sigma_v0,0.25
5,32.99971546394271,30.20922776264672,13.28095548843208,62.22165927993951,0.014748902399837656,0.009402040509596846,0.011363615457055772,0.44698748386973564,19.819067006003024,0.01720280861391177,0.01928790435325889,-0.0017294880830138193,0.025902722010951416,-1.6745852960630145,sigma_v0,0.25
1,37.32317622164709,31.894658278758524,19.384278592543566,82.93341190912656,0.014243275545282555,0.010701079643457664,0.0093998825909274,0.3340308815058719,14.473304032999295,0.017928856251916314,0.01897574004464775,-0.004570860493073592,0.026503119861462872,8.556078678600898,sigma_v0,0.5
2,28.107069320884904,25.75985850667149,11.244422418483477,62.280305266197615,0.016132998841273716,0.007876575377545115,0.014079531666017487,0.5643563452152455,16.10809370000061,0.0027541059483399133,0.010042170529618977,0.013900778260677815,0.01736841745160342,-10.787587306220303,sigma_v0,0.5
3,22.666173836473565,19.632859492814625,11.327235519783168,66.46930042852308,0.011819673809177079,0.006806475484841536,0.009663155821448693,0.37908602746464964,14.40943615300057,0.0200753458279328,-0.003521520144892043,-0.014908425434685846,0.02525236153676656,4.2597910949934885,sigma_v0,0.5
4,21.0156603273973,17.882665369363384,11.039395739075228,48.12386680381509,0.012316008025189049,0.007348826610305336,0.009883258629024602,0.37877315078573515,14.432840894001856,0.0034371647380087023,-0.008614385190147344,0.004867326599079291,0.010474378352081096,4.489469169522636,sigma_v0,0.5
5,33.00590475318296,30.214717827219584,13.283846400711074,62.220786127216876,0.014750103373405479,0.009403887902965844,0.011363645622536826,0.4469847222296559,17.092406676998507,0.01720363683526782,0.019297338777512052,-0.0017272164164766624,0.025910146290656112,-1.6741317347987206,sigma_v0,0.5
1,37.328366060634394,31.89979992421506,19.385811243065643,82.93678976556765,0.014244143931758216,0.010701820402468892,0.00940035512211879,0.33402975674323804,14.469384086998616,0.01792805638939332,0.018965189349699818,-0.004573467633911366,0.02649547544713378,8.556026041100267,sigma_v0,1.0
2,28.11231217542875,25.766281333467692,11.242812908403042,62.2781232369079,0.01613616247830206,0.007878095286104031,0.014082306422927626,0.5644712638322145,16.75454580600126,0.0027506999964835854,0.010038807535930228,0.01389781018852232,0.017363557678376256,-10.798237070062896,sigma_v0,1.0
3,22.667278342986663,19.633699529338596,11.327989683526441,66.4787229764819,0.011819696043480694,0.006806141191030282,0.009663418476296787,0.37909348294387263,14.413568643998588,0.020075340258722263,-0.0035213883792062917,-0.01490712385580023,0.025251570332810044,4.259228886194251,sigma_v0,1.0
4,21.012639175953748,17.877184940463756,11.042520715094083,48.11789625701114,0.012315191122465695,0.007348034628243885,0.00988282952827714,0.3787691085305717,14.41271922800297,0.003439180710519407,-0.008595629047137787,0.004879041526774985,0.010465077586697694,4.48989738497221,sigma_v0,1.0
5,32.997317744650225,30.20643063332013,13.281360123715782,62.216851571339824,0.014747937696546233,0.009400661549812433,0.011363504245042,0.4469852256521075,18.762818829000025,0.017202611696964243,0.019287655093732425,-0.0017331785008443679,0.025902652295220707,-1.674344986800861,sigma_v0,1.0
1,37.320006938952794,31.893440886633094,19.38017921316327,82.93574805364428,0.014242319481927971,0.01070044591551474,0.009399155357501486,0.33402880804871526,14.847003858998505,0.01792959953824491,0.01898444294526902,-0.004564483818502552,0.02650875564928272,8.556316099335163,sigma_v0,2.0
2,28.10327722706227,25.75610000896876,11.243553852279808,62.2769235591533,0.016134900652895582,0.007875979081126689,0.014082044332853986,0.564459292677727,19.099868713001342,0.002752026968855348,0.01004912966802507,0.01390378937480452,0.017374522108565056,-10.796764715083555,sigma_v0,2.0
3,22.66935510522578,19.6350429093228,11.329816893307617,66.47572393967475,0.011819849177261968,0.006806301105487127,0.009663493148684128,0.3790936583212358,14.417784670000401,0.02007488144850289,-0.0035261906969786816,-0.014911984003098122,0.025254745156337625,4.259122149829636,sigma_v0,2.0
4,21.014943192064145,17.8811476715875,11.040488907315842,48.11836156097655,0.01231567052365116,0.007348047793094273,0.00988341712554582,0.3787829626982691,14.467296346003423,0.003437723019187988,-0.008609711868441838,0.004870429083812522,0.010472161069936335,4.488571953341307,sigma_v0,2.0
5,33.003005797832174,30.213784788094568,13.278765020529939,62.21632352170188,0.01475008165007657,0.009404119879445151,0.01136342545084668,0.44697816896925574,18.147872002999065,0.017202916230744103,0.019287878636384814,-0.0017282525956893169,0.02590269187108582,-1.6737612818633352,sigma_v0,2.0
1,37.32691850679753,31.897531848378577,19.38675597398333,82.93271295602217,0.014243871097062804,0.010701739914747268,0.009400033331156132,0.33401307513086437,19.229409587998816,0.01792756425836428,0.018967412740653833,-0.004574204249905123,0.026496861150557962,8.557491028377626,sigma_v0,5.0
2,28.106616667996537,25.760556517319884,11.241691529288149,62.28362473629492,0.016136223943613685,0.007877141570860753,0.0140829103466247,0.5644966890136687,14.38693756000066,0.0027509854177333315,0.01004917653409354,0.013899988397410024,0.017371342700841837,-10.800241414521224,sigma_v0,5.0
3,22.671841719473484,19.63752268518267,11.3304946821308,66.47393431713962,0.011815778257247243,0.006806347373657357,0.009658480794283554,0.3788733850018093,15.067447317996994,0.020071736082485803,-0.003536036704925527,-0.014914434098077356,0.025255068588492004,4.27846435875108,sigma_v0,5.0
4,21.014542550593657,17.880241820752875,11.04119337037945,48.120035078195336,0.012317847710963855,0.0073483204335313,0.009885927323050873,0.3788981074417726,14.41247908600053,0.0034385895932159682,-0.008606291418293888,0.0048728519896228395,0.010470761045881214,4.478463436465972,sigma_v0,5.0
5,33.00125580781967,30.211317920917935,13.280028402619267,62.21582950861986,0.014749463038302733,0.009402806084608358,0.011363709678336142,0.4469913619405861,14.760724380997999,0.017202799784373446,0.019289816242781033,-0.0017316285848443247,0.02590428282460929,-1.6748422726195713,sigma_v0,5.0
1,37.32105687596735,31.89368841121873,19.38179367002141,82.91655212767935,0.014243378379590117,0.0107008547148405,0.009400294465390488,0.3340468142878976,19.23154056199928,0.01792952168402817,0.01897550458769326,-0.004571559099754818,0.026503521931587795,8.554609204924418,sigma_v0,50.0
2,28.1085367284041,25.762717790830806,11.241539442712108,62.27855381014078,0.016135190435849763,0.007877443536366395,0.014081557219728822,0.5644411077819209,14.450584180001897,0.002751889011323061,0.010043764513030462,0.013897644820081712,0.01736648007711968,-10.795357759194303,sigma_v0,50.0
