seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,n_iters,converged,rigid_dev,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
1,953.8794154700734,845.7651226110726,441.09783113523264,1545.44250671054,0.07116938917843282,0.0647312648472045,0.029579474425897034,0.11236584229932386,5.796172088001185,4,True,,,,,,,deltaC0.2,BLS-B
2,953.9176911830921,846.6729668324016,439.4358301132259,1540.6753407631356,0.07114519155085972,0.06472518279411049,0.02953453898535585,0.1120180313895921,5.973566628001208,3,True,,,,,,,deltaC0.2,BLS-B
3,953.8429794885805,845.9600314937995,440.645043810392,1538.0811082111063,0.07135663635494964,0.0649355583304444,0.02958281285148479,0.11183262801359678,5.936858827999458,3,True,,,,,,,deltaC0.2,BLS-B
4,953.9527404714942,846.1542777838042,440.50966986122194,1538.1641817621348,0.07135039388751419,0.06493903912660508,0.02956010665096924,0.11183988271912741,4.00702741799978,4,True,,,,,,,deltaC0.2,BLS-B
5,953.8498897641441,846.2850489124392,440.0354851490278,1534.6916660013433,0.07136471428268093,0.06495291828415031,0.029564181893317717,0.11158257090576744,5.958702197000093,3,True,,,,,,,deltaC0.2,BLS-B
6,953.8737842215454,845.0239200108585,442.5039783263124,1545.3276772415466,0.07132627692333797,0.0648842188111031,0.029622220190552728,0.11235616663012275,7.946468021000328,4,True,,,,,,,deltaC0.2,BLS-B
7,953.886356718493,846.4564294611961,439.7848275662579,1539.515292435951,0.07118678289238627,0.06476539345522084,0.029546605036081135,0.11193267386234852,6.927902013001585,4,True,,,,,,,deltaC0.2,BLS-B
8,953.8928488412198,846.1535728620129,440.38131000675844,1540.0479126471369,0.07123071110650829,0.06481052665781759,0.029553508067150985,0.11196828631998278,4.431526522999775,3,True,,,,,,,deltaC0.2,BLS-B
9,953.863981128578,846.8142226314906,439.0468845618705,1533.2415275891944,0.0712853230011073,0.06487578844652411,0.029541992972953714,0.11147614589407864,5.816391733000273,4,True,,,,,,,deltaC0.2,BLS-B
10,953.8570862497668,846.6388057699921,439.3700872308631,1536.002757758047,0.07127171007674561,0.06486100366465393,0.029541612360828133,0.11168075772532207,4.409503708000557,3,True,,,,,,,deltaC0.2,BLS-B
11,953.9344078737028,844.7952588423409,443.0709030875917,1555.6510380499594,0.07111922638249825,0.06464801452147066,0.02964082623134439,0.11311416213125136,5.815780054999777,4,True,,,,,,,deltaC0.2,BLS-B
12,953.9337185865227,846.2980449889752,440.1921836018327,1538.3891732673605,0.07132951841557708,0.06491782129370427,0.02955633055500677,0.11185831681131209,6.017245069999262,3,True,,,,,,,deltaC0.2,BLS-B
13,953.956338712599,847.2821318364341,438.3442542576034,1529.5536469939843,0.0713503947853442,0.06496608321142969,0.029500624877959212,0.11120957109738214,4.2686209340008645,3,True,,,,,,,deltaC0.2,BLS-B
14,953.8742451417404,846.499107382117,439.67640003302904,1533.2249444599963,0.071392413878908,0.06498787102480047,0.029554244688727815,0.1114796591725954,8.439908972999547,4,True,,,,,,,deltaC0.2,BLS-B
15,953.8704387158783,845.1740905906516,442.20987149801084,1549.3259136499928,0.07116816958343464,0.064710772985097,0.029621347395548232,0.11264732315149993,8.835467316001086,4,True,,,,,,,deltaC0.2,BLS-B
16,953.838684733102,846.6219958736815,439.36252980453156,1532.496892532407,0.07133329987602667,0.06492511581693526,0.029549433283240608,0.11141975762585321,5.937492470999132,3,True,,,,,,,deltaC0.2,BLS-B
17,953.8722634884103,845.8353651927306,440.9476500014297,1542.4717716502773,0.07122986263551079,0.0648002891749822,0.029573904948660752,0.11214445074532241,5.812333735999346,4,True,,,,,,,deltaC0.2,BLS-B
18,954.0759624887514,846.7703697204183,439.59172326419394,1530.0998780506768,0.07154277818096541,0.06516226165178422,0.029533857964634945,0.11125815623322363,7.966498572001001,4,True,,,,,,,deltaC0.2,BLS-B
19,953.8031184810466,846.2902206195572,439.9241426744736,1539.3991270432318,0.07119958189154599,0.06477069493636518,0.02956581706957005,0.11192339974173238,5.968865161999929,3,True,,,,,,,deltaC0.2,BLS-B
20,953.8915451496242,845.782892513289,441.0899892763288,1546.0455148863716,0.07116090343083277,0.06472327223186894,0.029576548289002403,0.11241146215505876,7.166628768998635,4,True,,,,,,,deltaC0.2,BLS-B
21,953.8134918104274,846.6439078075376,439.265603629492,1537.5591705711174,0.07118605152089238,0.06476343141158956,0.02954914352280754,0.11178861565185566,6.462096923998615,4,True,,,,,,,deltaC0.2,BLS-B
22,953.9294026910438,846.9960237384365,438.83828580670786,1529.054123918892,0.07139067290866892,0.06499588551358641,0.0295324066858311,0.11117150984462408,4.118435551999937,3,True,,,,,,,deltaC0.2,BLS-B
23,953.8669824384374,848.1353638525227,436.49584736737086,1521.5490218860725,0.07132638238559356,0.06493850987256722,0.029503266933449988,0.11062352993936343,5.762803403000362,4,True,,,,,,,deltaC0.2,BLS-B
24,953.8706544992828,846.7943622329566,439.09968527131815,1540.1839605383195,0.07115324708144344,0.06472676294711242,0.029550477637785354,0.11198810195992728,6.018126728000425,3,True,,,,,,,deltaC0.2,BLS-B
25,953.8740572556891,846.5257267538838,439.62473889584334,1535.2624677710774,0.07131560202616818,0.06490717954449601,0.029546118796440313,0.11162608354866854,4.401693743000578,3,True,,,,,,,deltaC0.2,BLS-B
26,953.9058033332958,845.9148602702569,440.86770215892705,1545.8430847789152,0.0711462957743282,0.06470978513782497,0.02957091662131421,0.11239571224568444,12.15359367200108,4,True,,,,,,,deltaC0.2,BLS-B
27,953.9283843273249,846.9311767265757,438.9612104888975,1532.4248204938908,0.0712830669520791,0.06488072368613819,0.029525706224535597,0.11141214793650514,5.690664465999362,4,True,,,,,,,deltaC0.2,BLS-B
28,953.925422591874,846.5440007505063,439.70099688357834,1539.4073024988502,0.07122529095809947,0.06481130153664805,0.029538741767238644,0.11193169145026462,9.990071738000552,4,True,,,,,,,deltaC0.2,BLS-B
29,954.052469122742,846.3975347505517,440.2582503569796,1540.2176922827693,0.07128939206644468,0.06488297129683492,0.029536036580715467,0.11198773208001966,5.967527619999601,3,True,,,,,,,deltaC0.2,BLS-B
30,953.8642990217398,846.1542077289511,440.31824592086326,1533.364164751402,0.07146121174710013,0.06505255633716182,0.029578196333858327,0.11148834004658754,5.98917485399943,3,True,,,,,,,deltaC0.2,BLS-B
31,953.8873256478031,845.9012157611118,440.8539023365797,1534.718439989892,0.071452896704937,0.06503885988411796,0.029588226585932218,0.11158332253329634,4.092963638000583,4,True,,,,,,,deltaC0.2,BLS-B
32,953.9130292199569,846.5684647948264,439.6270029587868,1534.938207750856,0.07136604717638047,0.06496184913381661,0.029547772279761002,0.11160771767290113,4.39347505799924,3,True,,,,,,,deltaC0.2,BLS-B
33,953.9108710007097,846.0850120412964,440.55204256978755,1541.5155095429577,0.07126087231939955,0.06483903054688224,0.02956369465175549,0.11208438038870992,6.9341041009993205,4,True,,,,,,,deltaC0.2,BLS-B
34,953.9460913100671,845.444895867139,441.85526270257026,1546.2606486971376,0.07126719991851173,0.06483378577100647,0.029590437759931115,0.11243141370276337,5.874599019998641,4,True,,,,,,,deltaC0.2,BLS-B
35,953.880052089852,845.3922134694769,441.81348913327355,1550.187663882421,0.07107493980341344,0.06461639056920435,0.02960353252344864,0.11270488079123385,5.753167453998685,4,True,,,,,,,deltaC0.2,BLS-B
36,953.9211589960443,846.3631321459613,440.03980061402876,1535.362256620748,0.07137510699146543,0.06496925124728924,0.029553380355041316,0.11163578724829487,6.199309138000899,4,True,,,,,,,deltaC0.2,BLS-B
37,953.9327997885553,847.2203301818035,438.4124754601172,1535.6702448263252,0.07118889801043955,0.06478463911766813,0.02950948549762044,0.11165653640121803,5.958369441999821,3,True,,,,,,,deltaC0.2,BLS-B
38,953.9117720265418,846.6718753120971,439.4250839065905,1540.5485844143832,0.07115657800448161,0.06473842267151363,0.02953295148325554,0.11201398891291024,3.047366538999995,3,True,,,,,,,deltaC0.2,BLS-B
39,953.936954925728,846.1841399203984,440.4181142052924,1536.64029982541,0.07136613179192158,0.06496085507713927,0.029550162006135094,0.11172258075071234,5.679394455000875,4,True,,,,,,,deltaC0.2,BLS-B
40,953.9341749532144,845.4690147339034,441.7833804802447,1548.3864695004565,0.07119474949690599,0.064753890683515,0.029590978308845814,0.11258276055118108,4.378082830999119,3,True,,,,,,,deltaC0.2,BLS-B
41,953.9237032318214,847.219480196025,438.39432473959926,1531.9606048049525,0.0713027596431375,0.0649088532427335,0.02951142665884392,0.11138670957551879,6.069107145000089,4,True,,,,,,,deltaC0.2,BLS-B
42,953.9433001234519,846.8618640311929,439.1273199199015,1531.4139248708746,0.07135355681876,0.06496066921368406,0.029520188447879736,0.11133935358238711,6.313233366001441,3,True,,,,,,,deltaC0.2,BLS-B
43,953.8307151491784,846.474160004461,439.6299917052239,1537.3978165449057,0.07123418061057794,0.06481618024121477,0.02954947150455989,0.11177847384642683,6.095378396999877,3,True,,,,,,,deltaC0.2,BLS-B
44,953.8901298995091,845.7339000879597,441.18085878889997,1541.9609918275619,0.07132180395657321,0.06489623489906114,0.02958510462286286,0.1121171155258044,5.938955735999116,4,True,,,,,,,deltaC0.2,BLS-B
45,953.8866338461834,846.9668012633729,438.80171807787264,1536.6148034391047,0.0712207144611085,0.06480995453536573,0.029530661378888497,0.1117290347407999,4.404608033000841,3,True,,,,,,,deltaC0.2,BLS-B
46,953.8433733452924,846.70042911815,439.22154342184456,1535.3765359920183,0.07128097538022836,0.0648726564087191,0.029538380145718857,0.11163426914201482,3.9764872929990815,4,True,,,,,,,deltaC0.2,BLS-B
47,953.8668375415615,845.6001963110149,441.38673718215966,1541.8838501151938,0.07132495509035267,0.06489526657686856,0.029594823779809716,0.11210825675900736,7.353209028999117,4,True,,,,,,,deltaC0.2,BLS-B
48,953.950080619261,846.5500827665682,439.7427812726561,1541.764409064034,0.07116801301337966,0.06475165880816873,0.02953148756603843,0.11210184897431183,4.437131292999766,3,True,,,,,,,deltaC0.2,BLS-B
49,953.9169606673131,846.3116533436997,440.1297005013611,1537.113235749549,0.0712677555276445,0.06485140598701337,0.029553140602238334,0.11174998103980065,5.999452449999808,3,True,,,,,,,deltaC0.2,BLS-B
50,953.8878315496347,846.7172194589501,439.2857218828861,1532.7847207330158,0.0713611852439763,0.06495838444787383,0.029543646514053137,0.11144537566958192,6.048056363000796,3,True,,,,,,,deltaC0.2,BLS-B
51,953.9736620488526,846.622263443158,439.65496804344457,1540.483594511187,0.07118750000782344,0.0647749886200159,0.029527292572138583,0.11200744575799985,6.091073666000739,3,True,,,,,,,deltaC0.2,BLS-B
