scenario,config,est,mode,n_seeds,n_converged,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,iters_mean,iters_median,iters_max,rigid_dev_mean,dv_err_mean,dv_err_std,t_star_mean,t_star_std,t_star_rms,t_star_abs_mean,n_steps,q_mult,q_pos_R,q_vel_R,q_pos_I,q_vel_I,q_pos_C,q_vel_C
arc25,RIC0,FGO,FGO-B,200,200.0,13.895588667422684,1.0603306344555259,0.0011569851134441552,9.096925152349076e-05,17.95290230020997,5.4215228095984695,4.19,4.0,5.0,766.9057954728679,,,,,,,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-G,200,200.0,12.302690110025846,1.3127825601685479,0.0010480084745023211,0.00010331195594736275,32.21871565635995,7.908733607100328,5.565,5.0,8.0,556.3104839758679,0.0022566199362327706,0.00043364854338332035,2.3391908306540428,114.97573891899881,114.7117921183875,89.8714748480924,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,BLS,BLS-B,200,200.0,211.74919793645884,0.1525969931036114,0.015172178584856732,1.1967736644691236e-05,42.778104561820015,38.95583563605481,6.91,5.0,16.0,,,,,,,,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,BLS,BLS-G,200,200.0,115.09319244899957,0.23871752509071878,0.007174814088661579,3.362001994729356e-05,79.88867904520517,48.04764839685659,11.135,10.0,23.0,,0.004565074567914558,0.00034427285301087245,253.26619726077442,114.92254599842683,278.0016588004471,255.76759103062875,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,EKF,EKF-B,200,,107.15435947911953,27.26378126677821,0.09227026878527511,0.03929384078872097,2.8243141749950884,0.5224531530921284,,,,,,,,,,,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,EKF,EKF-G,200,,115.98647293431284,26.43350532197843,0.09387788180920278,0.03880239713222943,4.6217414905799705,1.1455563633250647,,,,,0.014562448611470625,0.015217759425286732,-7.232952827655172,196.7231840749355,196.3640158059137,162.0806414950746,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,I0.2,FGO,FGO-B,200,200.0,333.46443913989265,0.7486503492766553,0.032880433372532124,3.124313072105386e-05,24.425797259445098,20.454688647688233,4.805,5.0,13.0,32613.34254636512,,,,,,,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,I0.2,FGO,FGO-G,200,200.0,12.401007090587019,1.3104013904297929,0.0026773183634003373,0.0004435823897076184,40.31784304845496,26.15464100150701,6.795,6.0,46.0,556.1022388683818,0.0023798376218836224,0.00044204245279404555,1.8375132552007563,48.3586332417035,48.27257064755928,38.77989048118383,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,I0.2,BLS,BLS-B,200,200.0,11320.641417685816,0.0994494733064814,0.7322045915833914,8.354312274901858e-06,44.162522121825056,43.29752956814592,6.4,5.0,16.0,,,,,,,,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,I0.2,BLS,BLS-G,200,200.0,103.2658141671776,0.32477454403530476,0.015980586747706856,0.00015646536312518422,124.57696899900996,87.66146555362174,12.21,11.0,25.0,,0.017650901544727378,0.0003618658574300211,-1186.2541914762107,26.289627331669365,1186.544013333509,1186.2541914762107,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,I0.2,EKF,EKF-B,200,,1894.4201487248606,2.2544969957041454,0.21051811616638122,0.021118372997421954,6.195838735689886,1.1483350475954384,,,,,,,,,,,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,I0.2,EKF,EKF-G,200,,116.77012295088699,26.576566572535523,0.09408113012043304,0.03873959657764917,9.384795592410047,1.781318334912351,,,,,0.021378808000755995,0.02232467685684315,0.6779831783241389,124.49070592258717,124.1809399343903,91.40665841728936,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0.5,FGO,FGO-B,200,200.0,2396.690677703207,0.3811696201587659,0.1890455016753348,2.0085155260267725e-05,48.30944532683508,40.323766822758635,4.69,4.0,14.0,89507.475478823,,,,,,,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0.5,FGO,FGO-G,200,200.0,13.647030809019627,1.482029737254654,0.01098315944919298,0.0006877950110455663,51.94421921742014,23.040467582134628,6.055,6.0,12.0,510.723440870989,0.0023673014137997393,0.0004561577288784466,-25.248095598781074,10.274654736151861,27.248981974792756,25.248095598781074,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0.5,BLS,BLS-B,200,200.0,28240.219006761814,0.18787729842343798,1.7867493329380801,1.5339272012515685e-05,46.87231232004498,43.74174202420057,5.955,5.0,15.0,,,,,,,,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0.5,BLS,BLS-G,200,200.0,81.96133884227416,0.4547019747067408,0.030227237433691153,0.00023842488831368936,38.04953330617005,20.837523282101237,5.225,5.0,14.0,,0.011160673752927239,0.00021780390071929331,-286.5699189368153,4.221278642193473,286.60085229611764,286.5699189368153,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0.5,EKF,EKF-B,200,,5446.760902939362,1.897153118730976,0.5472645089073737,0.008967734279032349,3.665255528315065,0.539676011952636,,,,,,,,,,,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0.5,EKF,EKF-G,200,,118.1557070193058,26.549686873415673,0.09576560340302392,0.038224965814289046,5.595744932160014,1.039130351431404,,,,,0.11836360928084591,0.13778928514999275,-38.42960063402214,36.47381923425471,52.91995839922645,40.391493618193124,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
