sweep,value,dt,epsilon,config,mode,n_seeds,n_states,q_mode,q_pos_R,q_pos_I,q_pos_C,q_vel_R,q_vel_I,q_vel_C,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
dt,15.0,15.0,30.0,deltaRIC0.5,FGO-G,15,6625,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06,15.676468340882867,1.6427800207621988,0.01058924844806743,0.0008706854504593671,33.14594094920006,3.620853979846068,0.01700962965513759,0.00901355883616297,0.002658198330607564,0.003189218766029811,-0.0035264617475188756,-1.744736859134961,5.4544157757799905,5.550800068371219
dt,20.0,20.0,30.0,deltaRIC0.5,FGO-G,15,4969,calibrated,5.773850028247919e-05,4.05113647283195e-05,2.4184147375966686e-05,5.774824303293089e-06,4.048541610510017e-06,2.418349087196561e-06,17.54419583768644,2.296105170764052,0.010704269586620697,0.0007986022568140924,25.4097458997333,4.349870217430195,0.01639606310997285,0.005364937125917884,0.00348575763411777,-0.001726249353930487,0.0007134937830231484,-0.10253301963991059,4.083000627936124,3.945885731492336
dt,30.0,30.0,30.0,deltaRIC0.5,FGO-G,15,3313,calibrated,0.00012993347970917564,9.118059412944377e-05,5.441706782290494e-05,8.664448255790761e-06,6.069653007896394e-06,3.6276560574303065e-06,20.753258330424163,2.774631123209089,0.01147960323280709,0.0008937012166410133,15.993428633533313,0.9859920021358773,0.016297401578222754,0.007895530314955197,0.004696670465556374,0.004073412690446891,0.005215163139801652,-0.1596782151910399,6.132158037300555,5.926379038997962
dt,45.0,45.0,30.0,deltaRIC0.5,FGO-G,15,2209,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06,23.15270288260156,3.7250702103971713,0.012229485697577895,0.0005128360025399397,10.683230610600065,0.6317637785760908,0.01937937428939075,0.006103280819591702,0.0029533553363553346,-0.0034197545020725473,-0.005400515028761484,1.9336622070992842,3.875216077479083,4.2136914776127465
dt,60.0,60.0,30.0,deltaRIC0.5,FGO-G,15,1657,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06,26.82622782251324,4.92690272294294,0.013192368135974688,0.0016116301279831186,8.82115823059994,1.157707567706499,0.02127347816277063,0.0075649251149027775,0.009331194294922929,0.009032176400305866,0.0021286402724498815,3.296459545982361,6.776074778841237,7.32944897789163
dt,90.0,90.0,30.0,deltaRIC0.5,FGO-G,15,1105,calibrated,0.0011704924650405703,0.0008394782469571381,0.0004899004510368532,2.6031988903622817e-05,1.8151959219659942e-05,1.0885314139644817e-05,31.692226812102888,4.683172246910045,0.01750137756165707,0.0023418224920881132,5.562377245400057,1.0123754189614382,0.05815864833071095,0.01728492173762593,0.03432621326202431,0.026388739775660187,0.02681384146741276,-4.495788201406443,9.19998630003306,9.960382001274597
dt,120.0,120.0,30.0,deltaRIC0.5,FGO-G,15,829,calibrated,0.0020815267884666763,0.0015429200564981834,0.000871063751136976,3.47321349412336e-05,2.4164522452555252e-05,1.4515283785505951e-05,36.364373694363756,6.643689059192104,0.020343446220269307,0.009169353127979743,8.072508799533352,12.51324119150814,0.19404785344962638,0.07312786230953679,0.09242047465710927,0.1121775803190087,0.11015523424004528,-17.72075499416569,71.68171130421285,71.48245736330743
dt,240.0,240.0,30.0,deltaRIC0.5,FGO-G,15,415,calibrated,0.008306867930406709,0.008668278339397687,0.003486304747131138,6.950705643908212e-05,4.8025188297868456e-05,2.904238722832247e-05,255.98146927189723,628.474526872506,0.05407451560295296,0.044789317997524655,4.686114814266693,3.449572231107201,0.6019865499654268,0.41800191187663693,-0.01945425866621669,0.06527279061393818,0.08397307589024447,-426.44629038467326,2281.5705928261114,2245.0797722935854
epsilon,0.5,60.0,0.5,deltaRIC0.5,FGO-G,15,1657,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06,74.31721971764604,4.3310916763527265,0.05928038963056402,0.005373758386354124,8.77567837113317,0.9858569603548657,584.5040612123438,1997.4414672265484,160.20609670386864,411.8820281003858,331.7610176396511,519.1960529111865,2773.252235828436,2729.0591737784184
epsilon,2.0,60.0,2.0,deltaRIC0.5,FGO-G,15,1657,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06,328.7049970652131,739.7468135400692,0.06269101510882791,0.04730600142849622,17.057702019333494,11.539256944528079,641.3098697719959,1461.8585146752218,446.53399389124155,-33.52141608978105,64.39711974510216,-3133.2499582840637,7700.817203821147,8072.566828502793
