sweep,value,config,mode,dt,epsilon,n_states,seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,runtime_s,q_mode,q_pos_R,q_pos_I,q_pos_C,q_vel_R,q_vel_I,q_vel_C
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,1,16.776089298173186,14.53636608419993,8.374439277133895,41.67701459781117,0.01246979561857225,0.0077940487473478655,0.009733889607599262,0.5678928912014267,0.0027731003302203794,0.010167779964603385,-0.010528978493173136,0.014897423366467129,-12.030205892302547,31.793214297000304,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,2,15.510259948939478,13.267960417418513,8.033018738026922,42.18111184507557,0.010557212159141622,0.006469662763250059,0.008342553104592343,0.48406063693338436,-0.0036254288112639865,-0.0036318601836637376,-0.0020669888850756157,0.005532321891416943,-4.780335408242536,30.68438609299983,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,3,15.051747401914751,12.153832954689591,8.879157863251942,44.26999695849568,0.010719136903243252,0.006223559842304257,0.008727382129810125,0.498564252274702,0.017071641943693372,-0.00803775905288523,-0.017286201931305367,0.025590218960684464,-6.581884783818168,30.970575333999932,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,4,17.371952010733843,14.407708948636666,9.705804423880306,69.24477048408902,0.011124409555467311,0.00748876621258206,0.008226230520175189,0.37085390418385866,-0.004727401612046989,-8.437522262288999e-05,0.00613983055204137,0.007749384774777786,5.2791249354286265,36.8929864429997,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,5,15.476362200469142,13.742153391048769,7.118357053210865,31.781600623150915,0.0108026324277464,0.0063993329254076045,0.008703183640415283,0.4932608946279714,-0.006021004406933705,0.028629054113809338,-0.009968234881863991,0.030906972355437025,-5.791908889734259,30.977833950999866,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,6,16.063883554239247,14.032154785968874,7.819653886635192,36.80994300150298,0.010765866283537838,0.0062731590651171724,0.00874936295845332,0.5198976273564708,0.00856554571552659,-0.0013898128212597172,0.013651177660402691,0.01617574742009751,-7.432955931124525,31.55943352400027,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,7,13.163560795991009,11.570416564844487,6.277323740713375,31.440808674689052,0.00959197909382324,0.005733671236340077,0.0076896734059326965,0.4000018803730826,-0.002073252329376607,0.0021513127154657585,-0.0017741961170644194,0.0034748084095093134,2.825524446760028,31.740545246000238,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,8,16.471551565913273,13.602417990818441,9.28903847508443,42.661518430053505,0.009371498532672598,0.0058264629984174175,0.007340116734491175,0.3496828491513296,0.008289984131107042,0.009900632573657808,-0.014909842255475647,0.019724344306864747,7.034647233329451,30.85872978799989,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,9,16.50758499829145,13.3493661914401,9.71055017816462,77.14538530358844,0.01059424693616202,0.006663166865037103,0.008236520835465055,0.447015840314738,0.008914047914254875,0.002697896129180033,-0.003516693092219081,0.00995520085414341,-1.3650895105820382,42.58905849800021,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,10,14.468325719874171,12.516249012044296,7.257820596079281,41.87450475449237,0.010441009336058559,0.006428899461680122,0.008227024229165188,0.4545759751552823,0.00152698522122785,-0.01826063415147622,-0.020876317653102106,0.027777744369065147,-1.965644082189101,31.017645318000177,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,11,17.09155135967957,14.737059461787501,8.656801158644232,38.86588281305405,0.011591889908374302,0.007739708579997602,0.008629532011910121,0.49601169910623316,0.007700693875080655,0.026418979814571086,0.01793858164472295,0.0328489861643371,-5.1076948922145675,30.984676803000184,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
dt,15.0,deltaRIC0.5,FGO-G,15.0,30.0,6625,12,18.910700905727555,16.548996092283225,9.151247842970895,39.93760060939244,0.011366741089529158,0.0075278769104793995,0.008516681995769337,0.4718645016241154,-0.006244263025506791,-0.011321377655865994,-0.0058659723053095525,0.01419767741023551,-4.476887121041727,33.00684966600011,calibrated,3.247527143601528e-05,2.2788352288832542e-05,1.3603241964447885e-05,4.33056480380937e-06,3.0371956353533244e-06,1.8137285965909572e-06
