config,mode,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
deltaRIC0,EKF-B,200,53.202322311102414,4.056157920508071,0.07749112655086052,0.024846993213288482,0.7442805463449917,0.003404885123527319,,,,,,,,
deltaRIC0,EKF-G,200,55.07284489722802,4.116170688039313,0.08239283335887782,0.023851723562482965,1.1330747977650129,0.00520272580575583,0.07206692616683416,0.05828411381389257,0.009556906066187225,-0.002631636515439107,0.00020386650635697613,-0.7648587406144451,126.89119236038928,126.57587777314129
deltaRIC1,EKF-B,200,230.05021063219377,6.440423421816088,0.22088177100103795,0.010212953278009602,0.7492845772349881,0.002288727645348117,,,,,,,,
deltaRIC1,EKF-G,200,59.53299500536679,11.779354543839233,0.10534622295736348,0.036490953375603895,1.1361604220999937,0.0030876878655786864,0.8751855856359326,0.8494403334500574,-0.17357720148436848,-0.25982388732274664,-0.14436485494261164,-18.702154725501206,178.87367585142923,179.40341006908355
deltaRIC0.5,EKF-B,200,123.95217204439942,6.134502989812378,0.1301194929500144,0.016255819321572055,0.7526630306149877,0.0024642727330522504,,,,,,,,
deltaRIC0.5,EKF-G,200,56.4220603744054,5.947796059567237,0.0886719943058919,0.02449139898496264,1.140895332779994,0.0030724989079010997,0.5915850792560642,0.6039173375226037,-0.049585747353854036,-0.08340829023494735,-0.0011011643468422539,-15.151404874325982,90.48360475015072,91.52000537917566
deltaRIC0.5_short,EKF-B,200,278.70392259742925,19.29314003256153,0.35413777626470433,0.047656215669235905,0.09712425388998099,0.0005673690463591217,,,,,,,,
deltaRIC0.5_short,EKF-G,200,87.56295097698995,18.95401371958883,0.2496621904468914,0.07307886319571996,0.14849113036498465,0.000543909062028375,0.5446865829936185,0.512587691449192,-0.03931667573383755,-0.03672851594573579,-0.030625531589637957,-13.585204266453673,81.98567891615268,82.90115237176768
deltaI0.2,EKF-B,200,63.56827629014876,5.152926184039537,0.08315911848593259,0.023415965868720544,0.7518632047200162,0.002074062680051788,,,,,,,,
deltaI0.2,EKF-G,200,55.13677265331472,4.1497657026980095,0.08290769741313861,0.02376200005573897,1.1384465148300047,0.0028699592239788733,0.08709475565657421,0.06856717845663744,0.009515868043013973,0.0013109208174836961,0.002741955559415029,1.9007714651598235,119.19711572456808,118.91394185390358
deltaC0.2,EKF-B,200,59.57342590050906,4.0659983378044755,0.08224684562885283,0.02367131007429684,0.7575312999850167,0.002429386493527277,,,,,,,,
deltaC0.2,EKF-G,200,55.1112034085254,4.113035826295566,0.08282751354001838,0.023860957380642825,1.1466181382149967,0.003247535428094867,0.09072765033305309,0.07676224446510341,0.012744579023347191,-0.0033387660703333155,-0.00048522016247627616,2.0775636621891773,116.67847633509938,116.4049559789075
