config,mode,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,iters_mean,iters_median,iters_max,n_converged,rigid_dev_mean,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
deltaC0.2,FGO-B,200,929.7740899769909,0.12655681297967825,0.07003877313950801,9.346438312964444e-05,8.095230306529984,2.5988115344179756,4.005,4.0,5,200,86.27849010842414,,,,,,,,
deltaC0.2,FGO-G,200,13.86492997141926,2.301925795808949,0.003996644391814327,0.0008628772269729274,39.698292189669985,52.75219014359437,11.785,9.0,103,200,5.478992088155503,0.002413776885072405,0.0007146212623162702,-0.0015827464693133953,0.001042262337437147,0.0009481505885951179,-1.409946442725377,56.05846077610848,55.935911706478116
deltaI0.2,FGO-B,200,1117.911868902661,1.9268697409133848,0.09959381551961806,0.00016489964024139878,13.13860025971493,14.067485372327365,5.055,5.0,14,200,9165.179939513615,,,,,,,,
deltaI0.2,FGO-G,200,13.547289200599284,2.395814003654192,0.0046622459478032905,0.0012810458593245024,20.67753412570507,12.19519120389917,7.065,6.0,30,200,4.893557119091076,0.0032905538032206656,0.001274594874145329,-0.002593818639346818,0.001032889764351993,0.0009409707501430536,-43.50081476718442,61.955775198423005,75.5754350000331
deltaRIC0,FGO-B,200,14.467116310475904,2.16538165636051,0.0012937769358356435,0.00018807677785997085,9.012964128875064,5.866312851685011,4.075,4.0,13,200,62.658912688086396,,,,,,,,
deltaRIC0,FGO-G,200,13.342635260631546,2.2487573140975106,0.0012561626412451064,0.00021148971710571032,19.06899739986,15.89722789474679,5.95,5.0,34,200,5.480958239455719,0.002410842743411452,0.0007182265372720116,-0.001583138783168121,0.0010425983615319034,0.0009418177334839109,-4.4525907006555645,125.94070011609703,125.70433648029645
deltaRIC0.5,FGO-B,200,4225.717725201074,1.344916774990993,0.38121622161542107,0.00014916239736332792,11.542250142234952,8.95002131863483,4.685,5.0,13,200,19807.246113366844,,,,,,,,
deltaRIC0.5,FGO-G,200,13.23533739793028,2.3675054261879227,0.015267216475598007,0.0012597185070893295,34.13501749906989,43.3247352169147,9.875,7.0,84,200,4.043514142390822,0.002751088250567535,0.0008915499183095163,-0.0021667213339897147,0.000767518197090934,0.0009227442906320792,-14.748108089455272,14.938707544391887,20.965587289643064
deltaRIC1,FGO-B,200,8444.937323598882,1.3441607106834657,0.7618581887484055,0.0001488601325413392,12.12852733193492,10.961109599157467,4.73,4.0,13,200,39567.38093837621,,,,,,,,
deltaRIC1,FGO-G,200,13.355851789940436,2.3454400752445133,0.02904296769557729,0.0011452617246727988,30.879225386200005,29.817555643203022,9.125,7.0,62,200,3.976199944214561,0.0027734717790380723,0.0008889273632045197,-0.0021795129860823327,0.0007878538981246175,0.0009366878958684832,-7.334438913766863,7.547603209902114,10.510731507503733
