scenario,config,est,mode,seed,pos_rms,vel_rms,dv_err_norm,t_star_error,rigid_dev,n_iters,converged,runtime_s,wall_s,n_steps,q_mult,q_pos_R,q_vel_R,q_pos_I,q_vel_I,q_pos_C,q_vel_C
arc25,RIC0,FGO,FGO-B,7,14.351236215282848,0.0011975129707744536,,,804.5607956473115,4.0,True,9.540925332003098,9.962993680001091,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,12,13.979756441853526,0.0012378310108125715,,,723.9189135310331,4.0,True,11.543817017001857,12.125708662999386,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,1,13.319337431233976,0.0010733371173473768,,,768.418237250228,4.0,True,14.95219856300173,15.66287392799859,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,11,13.652439940681155,0.0010800576252899291,,,773.4667426072604,4.0,True,14.967018752999138,15.673566051998932,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,13,13.129241445326487,0.001173634486087648,,,769.1738215397976,4.0,True,16.20025636599894,16.905616595999163,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,4,13.656191613260637,0.0011784155819174872,,,735.7698309624212,4.0,True,16.188464591999946,17.01640507999764,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,9,12.735231893440384,0.001077584680241799,,,782.1391226170755,5.0,True,17.43441413599794,18.189685905999795,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,5,12.91493460407899,0.0010977564560507064,,,745.2091586027703,4.0,True,20.50602613099909,21.473260383998422,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,8,12.514084639045624,0.0010416876318214904,,,791.8110256178865,4.0,True,20.50602008900023,21.47301133899964,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,14,12.53568361267409,0.0010520239410013565,,,773.2422249499722,4.0,True,20.55181231000097,21.525488006998785,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,2,13.106907374805154,0.0011552152669948754,,,742.6791148194794,4.0,True,21.43003766200127,22.39772480099782,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,3,13.468523337358203,0.0011463774285519436,,,722.2948337643516,4.0,True,23.815966753001703,24.51887987000009,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,10,12.667373045115076,0.0010629820348942675,,,773.3005318050987,5.0,True,25.667002572001365,26.640969576001226,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,16,16.185430375383834,0.0013167195194545684,,,750.9642519013079,4.0,True,15.00490717700086,15.721470518998103,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,15,13.985053934911853,0.0010962199834959122,,,767.4100686636873,5.0,True,17.812100287999783,18.243042857000546,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,21,14.715582231478205,0.0012393249299757565,,,758.6425569730746,4.0,True,11.987533192001138,12.568670487999043,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,17,14.860923568910811,0.0012715018091864973,,,745.5859371620887,4.0,True,15.024789612001769,15.744509242998902,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
arc25,RIC0,FGO,FGO-B,18,14.099743287585657,0.0012776650378554131,,,746.1041200606884,4.0,True,15.03949181599819,15.758102198000415,3601,1.0,0.0005225391738541402,1.742700347601686e-05,0.00036594967064241846,1.2091670725635629e-05,0.00021683894545959843,7.227943920837491e-06
