seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
1,480.61403876144396,445.5784795618088,180.13792717241287,848.2383266948968,0.036044733258730886,0.03354337955848153,0.013193349972190693,0.0630816234230105,7.5783087289999,,,,,,deltaRIC0,BLS-B
2,481.34519349246654,446.0022664408242,181.03914943444715,850.1664275115475,0.03610497708196084,0.033584376596896094,0.013253641714139373,0.06323260581861918,6.4986017119999815,,,,,,deltaRIC0,BLS-B
3,487.0222000321472,451.23236423634387,183.24840187524768,858.7709558737967,0.03650908094907378,0.03395212187910423,0.013422608228376258,0.06385193662564596,5.691508540000086,,,,,,deltaRIC0,BLS-B
4,479.0967421404653,444.0826983786434,179.78944721632138,845.6751282783413,0.035933896733299914,0.03343419368721223,0.013168129211298021,0.06290585486622112,5.563335722000147,,,,,,deltaRIC0,BLS-B
5,490.6142916345817,454.8243059089257,183.94899812330144,864.674329355268,0.03676503460780936,0.034204068421757314,0.013481449221547521,0.06424704696638994,6.637067868000031,,,,,,deltaRIC0,BLS-B
6,484.33060814647746,448.7392330419613,182.23402184128247,855.1525626283913,0.03629675943593991,0.033751038786102174,0.013353730804891911,0.06354733375789794,6.661291882000114,,,,,,deltaRIC0,BLS-B
7,486.412092735165,450.87364574163627,182.50939574347467,857.4105259610909,0.03645858650088513,0.03391676158212577,0.013374670591224323,0.06373585640521653,6.43762353499983,,,,,,deltaRIC0,BLS-B
8,481.81884290344516,446.4505398923187,181.1941301661615,850.6132767334121,0.03612724277199289,0.033605435066848356,0.013260935271478827,0.06325552405279557,4.992028053000013,,,,,,deltaRIC0,BLS-B
9,482.7277346571418,447.6121356165729,180.74689998997673,852.3629776694113,0.03620682936427573,0.033700568741590345,0.013236546343632217,0.06338251156318793,4.099347755000053,,,,,,deltaRIC0,BLS-B
10,488.9995098253769,453.3693683005597,183.2395604017056,860.9694349385621,0.03665047792740942,0.034112368367458686,0.013401636343011584,0.06402118910004018,5.47132733300009,,,,,,deltaRIC0,BLS-B
11,483.41206224995824,448.2121571705416,181.0886084028679,852.8715435709646,0.03624516980304314,0.03373385965610631,0.013256660467612234,0.06340711985730074,6.633416942999929,,,,,,deltaRIC0,BLS-B
12,489.6782617935198,453.8593181791521,183.8382968129277,863.0223681728494,0.036703035478196755,0.034146864189787324,0.013457506430167136,0.06414853914469025,4.79433683100001,,,,,,deltaRIC0,BLS-B
13,487.2788056968626,451.38259895478024,183.56030028900238,860.2993214730642,0.03652088887228481,0.03395568259964177,0.013445703522469966,0.06391695914747551,4.298779183000079,,,,,,deltaRIC0,BLS-B
14,484.78098414508815,449.125473667934,182.47989338892677,855.8714719451843,0.03634482787084336,0.033799249076660515,0.013362532500057598,0.06362809094194073,5.312735552000049,,,,,,deltaRIC0,BLS-B
15,487.2551407697936,451.7518694689587,182.58647441114655,859.3207848007607,0.036514564580782324,0.03397767914275641,0.013372761367646533,0.06383783800759872,5.809074890999909,,,,,,deltaRIC0,BLS-B
16,489.4546262525976,453.9058130168913,183.12657936396056,863.5905721643763,0.03667630177108812,0.03413168820954727,0.01342307608449616,0.06413793899118285,4.722370369999908,,,,,,deltaRIC0,BLS-B
17,475.4292912550257,440.7397077980214,178.27372479804967,840.6777291433257,0.03567440322683809,0.03318902106862945,0.013082504580435143,0.06251595386576814,6.280660962999946,,,,,,deltaRIC0,BLS-B
18,486.94735968213956,451.5220034091702,182.33379154390525,858.6126250416295,0.03650299559701437,0.033970705456507634,0.013358886867656773,0.06381223324027169,6.469266456000014,,,,,,deltaRIC0,BLS-B
19,488.05685261166497,452.43552900484474,183.0343778510222,861.6447991049791,0.03657488345114791,0.03402431030880704,0.013418957018899077,0.06398826366193267,7.078713650000054,,,,,,deltaRIC0,BLS-B
20,485.2671747015046,449.64602029762267,182.49023884386392,856.1017225516302,0.03637622319500162,0.03383593517086774,0.013355115313819246,0.06365640438005558,7.537398447999976,,,,,,deltaRIC0,BLS-B
21,486.0046683008946,450.2609982488207,182.93597531988644,859.0249086057025,0.03642755914416353,0.033876724310000515,0.013391587479673632,0.06381330078928711,5.306696353999996,,,,,,deltaRIC0,BLS-B
22,481.6896996895611,446.42973377820533,180.90179541878592,850.4851958745429,0.03612503747186906,0.0336080383783155,0.013248323996099147,0.06324292822585136,4.077572351000072,,,,,,deltaRIC0,BLS-B
23,484.81228219649046,449.6723336626973,181.2118685597422,855.066020211012,0.03635077947337294,0.033840288785416235,0.013274563015083531,0.06355268877605448,3.998283317999949,,,,,,deltaRIC0,BLS-B
24,486.64572300339256,451.2986353567044,182.0813044842085,858.016515653549,0.03647869431306641,0.03395054094804289,0.013343759145061298,0.0637639061908185,4.915965648999872,,,,,,deltaRIC0,BLS-B
25,487.3915252326854,452.27620268515585,181.65003537940547,857.8209735032261,0.0365393077257304,0.034025155268295595,0.013319527695980738,0.06377915128898215,4.889995554000052,,,,,,deltaRIC0,BLS-B
26,487.0535586941612,451.73702146276474,182.08468490402015,858.1791186979177,0.03651994484293666,0.03399881127762449,0.013333686775967456,0.06380159691868215,4.6992037279999295,,,,,,deltaRIC0,BLS-B
27,485.1995539123123,449.84838866545255,181.8104351565189,856.0038728138904,0.03637298941717707,0.03384588076450701,0.013321062811084174,0.06362842647766709,6.109021358000064,,,,,,deltaRIC0,BLS-B
28,482.2454443963921,446.6149030447418,181.92250278459127,851.3902382546564,0.036168468473162824,0.03362283545656723,0.013329030255602914,0.06333864962187426,7.529922826000075,,,,,,deltaRIC0,BLS-B
29,489.5995670027364,453.7691964702318,183.85116900370045,863.4914082413441,0.03668610075409358,0.03412482583199848,0.013467228760040972,0.06415655791767617,4.7090963990001455,,,,,,deltaRIC0,BLS-B
30,479.99486839141065,444.7375501213369,180.56462885670334,848.1461064140734,0.03600029747431834,0.03348405854882253,0.013222679052992087,0.06309120517073062,6.5277917109999635,,,,,,deltaRIC0,BLS-B
31,480.88356933367396,445.23550377068466,181.69852348645819,850.5375569083832,0.03605850483841966,0.033513225926557165,0.013307120619347768,0.06322801655361342,5.037189119999994,,,,,,deltaRIC0,BLS-B
32,487.3779441461558,451.612831312575,183.25695357604596,860.98374501263,0.036532570256364354,0.033975329130153074,0.01342779579953349,0.06395924836836639,4.541764216000047,,,,,,deltaRIC0,BLS-B
33,479.8472903018339,444.5707742560723,180.58307973719167,847.8298689009987,0.03598493146080446,0.03346964864625885,0.013217333760436632,0.06303916905076098,4.1647306540000955,,,,,,deltaRIC0,BLS-B
34,483.1243915411821,447.8271271808447,181.27338983697803,853.3695125638144,0.03622133899740336,0.03370028398935492,0.01327690693654367,0.06342701996869746,4.257052202000068,,,,,,deltaRIC0,BLS-B
35,481.1979061313859,445.962004995918,180.74654897189836,849.2550177557133,0.03608840786798421,0.03356812643452334,0.013249681887571491,0.06315522967984345,8.467221965999897,,,,,,deltaRIC0,BLS-B
36,486.73244463108955,451.0912733594803,182.82542425898885,858.9417471277106,0.03648531926514351,0.03393987942031566,0.013388917312982593,0.06383552171653388,4.349535016000118,,,,,,deltaRIC0,BLS-B
37,488.02882887753793,452.2366272345646,183.4507312688797,861.2339820589388,0.03657993260091965,0.03402610676313811,0.013428161736862995,0.06400608397513992,6.91427786700001,,,,,,deltaRIC0,BLS-B
38,478.7372174376733,443.56736697831246,180.1036210404809,847.3375559780619,0.03590965134504084,0.033398061160589465,0.013193656446789812,0.06298836102777779,6.391258654000012,,,,,,deltaRIC0,BLS-B
39,486.8142654176531,451.42105716507336,182.22831328335542,858.4470471256672,0.03649225975383358,0.03396109962512948,0.01335397821599589,0.06380806230478188,6.094124049999891,,,,,,deltaRIC0,BLS-B
