scenario,config,est,mode,n_seeds,n_converged,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,iters_mean,iters_median,iters_max,rigid_dev_mean,dv_err_mean,dv_err_std,t_star_mean,t_star_std,t_star_rms,t_star_abs_mean,n_steps,q_mult,q_pos_R,q_vel_R,q_pos_I,q_vel_I,q_pos_C,q_vel_C
lunisolar,RIC0,FGO,FGO-B,200,200.0,138.86443995600382,18.13656011250791,0.01665548116769494,0.002031670959849663,8.335188269444952,7.498392032646831,3.98,4.0,13.0,4250.740309288256,,,,,,,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-G,200,200.0,186.41752248595338,19.065607097925533,0.02194585763923967,0.002071134241014776,13.84942406510003,5.362108464867481,5.215,5.0,14.0,3384.4991760590547,0.10241506337415679,0.011966292822903467,-12.081091201820708,125.86604205961085,126.13089235258617,99.0546745190174,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,BLS,BLS-B,200,200.0,1029.4852394274124,0.14642151914734985,0.08033103674711448,0.00011618372862234121,9.017663399300073,8.32257823684267,4.285,4.0,13.0,,,,,,,,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,BLS,BLS-G,200,200.0,855.2799303868419,1.8826329401040545,0.08655263591742295,0.00018090432370025588,59.5438978632349,31.452332549774088,21.87,20.0,44.0,,0.2180206648184211,0.0019139255144760903,-8872.209415323325,90.00320426726589,8872.663635191315,8872.209415323325,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,EKF,EKF-B,200,,341.3812957978509,26.47674434913581,0.13522924778119016,0.041498672369352604,1.2971589463799682,0.3542689060493411,,,,,,,,,,,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,EKF,EKF-G,200,,342.910671887231,30.270140436216913,0.1367810376970201,0.041346164272255244,2.039404271970179,0.5693250365102162,,,,,0.1022240486016961,0.016013783509704622,-1.4647433010098394,140.88243854663847,140.53742439767058,112.48158020493032,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,I0.2,FGO,FGO-B,200,200.0,174.00418327180552,17.763408522977006,0.02519392075699439,0.0015054103038620982,8.392532931740115,7.647840373049304,4.0,4.0,13.0,13548.565469614383,,,,,,,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,I0.2,FGO,FGO-G,200,200.0,192.2274789577822,20.24220127393028,0.023494313136834782,0.0024232665093414946,17.958662509304997,11.073994467496135,6.35,6.0,17.0,3300.179645539723,0.10974679158389587,0.014461470855609069,-77.97204625253434,92.20466559121616,120.57707846772294,97.90419017408945,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,I0.2,BLS,BLS-B,200,200.0,4229.801799088232,0.24674091162888354,0.30728151259993347,8.033955474920506e-05,10.98015329408503,11.008716203512066,4.535,4.0,13.0,,,,,,,,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,I0.2,BLS,BLS-G,200,200.0,745.300607104486,1.5274078527226271,0.09656614050597474,0.00018078644122534226,87.48237044954998,39.83234071712846,32.93,30.5,101.0,,0.24892787277839012,0.0025773915973967745,10757.050527852807,83.78697743569252,10757.375200999462,10757.050527852807,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
