sweep,sweep_value,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
sigma_r0,100.0,5,28.422915210017287,6.8591875933318915,0.013852595834352253,0.0017787988518352268,14.77385543739947,0.33436902964500037,0.02110130238136691,0.007005454531098014,0.0122787905437165,0.007232280601680507,-0.0004895493403283879,0.9664704525152047,7.520850541583266,6.795926679316927
sigma_r0,250.0,5,28.424026314062644,6.858884974013057,0.013852672097525404,0.0017794222078470192,14.682702498800063,0.18952523175663222,0.02109866509249792,0.007005565947741654,0.012278484597804607,0.007229733441240937,-0.000491358519902707,0.966138556371152,7.521193950172796,6.7961835215803
sigma_r0,500.0,5,28.424725882288858,6.858621365339797,0.01385273491409295,0.0017792081851966885,15.440439061399957,1.4477475485817783,0.021097274169795538,0.007006981587083331,0.012278403213670885,0.0072283580437553455,-0.0004911046990891066,0.9661427317885682,7.5212391234063665,6.79622410897071
sigma_r0,1000.0,5,28.423582699930755,6.862365336841472,0.01385262625451058,0.0017794604788649484,15.910620893400482,1.9864251204251355,0.021095666668047696,0.007008470636819284,0.012279177810416564,0.007234926910603678,-0.00048738365505173186,0.9665140510805941,7.520644898377769,6.795750816571535
sigma_r0,2000.0,5,28.423190058440348,6.8626090350531115,0.013852532774614342,0.0017787541313258025,14.875162551600805,0.444634660836132,0.0210964939391182,0.00700981170570272,0.012279522177099378,0.007234628967911783,-0.0004890810071288554,0.9681442406617862,7.517447320599242,6.793152040482707
sigma_r0,5000.0,5,28.424006246849267,6.85889049611969,0.01385127391536064,0.0017800038118878472,15.450813740800367,1.1920405189492616,0.021101238896269397,0.007005664249648312,0.012278633024718655,0.007229958106746459,-0.0004901341292117501,0.9722583941944322,7.520000131107386,6.795999408664308
sigma_v0,0.1,5,28.425967558616566,6.863420356135487,0.013854154015348985,0.0017785744416853216,17.061854927999956,1.5552684098133267,0.021095244276482877,0.007011063133071084,0.012279357972133332,0.00723533895570877,-0.0004871832532630349,0.9621940328972414,7.518392748129032,6.793143673516588
sigma_v0,0.25,5,28.427763718718076,6.862495242293064,0.01385447059950127,0.001778535033185748,16.188997483599813,2.405981750144567,0.021099062448429507,0.007002757632048881,0.012278440089961862,0.007226539499816808,-0.00049137640879372,0.9616617666306411,7.518940459293928,6.7935532571493775
sigma_v0,0.5,5,28.423596891917164,6.861590407261678,0.013852411918865576,0.0017785009263248353,15.303216291400167,1.2343197016606766,0.021101684698514013,0.007007172172781988,0.01227982192029311,0.007235868803347878,-0.0004876794968957987,0.9687239804195997,7.516486249489762,6.792383865864392
sigma_v0,1.0,5,28.423582699930755,6.862365336841472,0.01385262625451058,0.0017794604788649484,15.762607318800292,1.9557441422246584,0.021095666668047696,0.007008470636819284,0.012279177810416564,0.007234926910603678,-0.00048738365505173186,0.9665140510805941,7.520644898377769,6.795750816571535
sigma_v0,2.0,5,28.422117652227435,6.859649035912183,0.01385256429716265,0.0017790783409721291,16.195965118200547,2.247916506677883,0.02110257517104151,0.007007362322617733,0.012279429441107048,0.007237109736851677,-0.00048610039173458964,0.9666968411118433,7.5199241367133105,6.795138703525805
