seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
1,67.59071868959654,57.13220858549565,36.11669967092221,442.06684663609894,0.0661719231724213,0.02298664506413828,0.06205108834687875,1.2470587602843306,0.773705917000143,,,,,,deltaRIC0,EKF-B
2,54.88587258023868,46.23641447869752,29.574532710565137,254.2082348248363,0.05578236408239882,0.019979627852516234,0.05208153812529211,1.0902954702974104,0.7370951629998217,,,,,,deltaRIC0,EKF-B
3,45.89340184512461,40.386684422136526,21.797248778339924,153.82776002375763,0.055237329866466824,0.018046333824443362,0.05220624911132401,1.2166762748686812,0.7408024329999989,,,,,,deltaRIC0,EKF-B
4,50.615884489599125,42.00453228506332,28.24158335110684,319.6352331745873,0.15453502396506544,0.0277476186798194,0.1520234958468022,2.7399394970919824,0.7394721310001842,,,,,,deltaRIC0,EKF-B
5,60.032453468088974,52.11310790310314,29.801333092292975,272.1559375696102,0.08533126584309042,0.022004843438671807,0.08244520480673036,1.9992992883327836,0.7411329940000542,,,,,,deltaRIC0,EKF-B
6,51.38430277850953,44.209360106691506,26.189292678314466,238.17964989544063,0.05076573388328194,0.0184181512258606,0.047306780086257515,1.034270961661555,0.738604285999827,,,,,,deltaRIC0,EKF-B
7,50.374438912576025,44.914339067909516,22.809783906247567,246.7063756038857,0.0850052384507283,0.02058193224468487,0.0824759033241854,1.795316789921944,0.7406219729998611,,,,,,deltaRIC0,EKF-B
8,52.65539828866841,41.92300217887703,31.8598941813713,694.8012233243743,0.08332226933893057,0.020901204084497745,0.08065816905687521,2.695595261664548,0.739705481999863,,,,,,deltaRIC0,EKF-B
9,56.588283421752585,46.22900369887016,32.63606957999764,293.81211877795585,0.05540527933788966,0.01980588090844934,0.05174429495074704,1.024844850087179,0.7408869289999984,,,,,,deltaRIC0,EKF-B
10,51.784387259295414,45.56980544553611,24.597064773599808,250.87838951730703,0.05990013468724069,0.01931581897475697,0.056700311047506544,1.1285329130400659,0.7415403659999811,,,,,,deltaRIC0,EKF-B
11,54.1075215244838,45.81548153798902,28.78481434653808,207.3830426732343,0.06909410239051865,0.021320993236191896,0.06572222023466444,1.1949593007994466,0.7438633889998982,,,,,,deltaRIC0,EKF-B
12,54.519343811770256,47.141327463031246,27.387115486835558,233.69532687197565,0.07929999122342618,0.02190907444828389,0.07621339163726427,1.541080296558565,0.7465019599999323,,,,,,deltaRIC0,EKF-B
