config,mode,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
deltaRIC0,BLS-B,200,484.5895274856617,3.2882003842268377,0.03633020047957412,0.0002378224472350416,5.513774776895001,1.1346242139666156,,,,,,,,
deltaRIC0,BLS-G,200,314.47132831983765,137.2381141659416,0.023322305280018468,0.010127029982862886,13.604414439439967,4.937244270213631,0.05112639012669786,0.3915324580949376,-0.002933782305089784,-0.0012992050784883225,-0.02703448936594782,3950.8128617242864,15405.303920846582,15866.495965321039
deltaRIC1,BLS-B,200,6368.774762741326,2.667747705173758,0.6548342855814303,0.0001424351993648226,6.074376309594986,1.4298079863049686,,,,,,,,
deltaRIC1,BLS-G,200,306.47535422843913,4.480600036760299,0.04337860304489905,0.0004527066682907208,9.579211695425066,3.292482295180218,0.017943081878129038,0.0010630523438266662,-0.009488792416071925,-0.0069837522490972855,0.013490669341246781,-31.016672296298513,1.4958513251604304,31.052541661948073
deltaRIC0.5,BLS-B,200,2991.981979123368,2.5623728189086106,0.3176041953515142,0.00013380678355518985,5.598488331614963,1.3669011364872234,,,,,,,,
deltaRIC0.5,BLS-G,200,305.9445944056844,5.354714063730109,0.03294353319762408,0.00040105405605266476,10.684295686959949,6.624015592216259,0.020775259942541802,0.001463651242666495,-0.0026094099181311124,-7.208714110909953e-05,0.02060420182071775,-61.466005749336325,2.859511309975622,61.532152438255125
deltaRIC0.5_short,BLS-B,200,1499.184838300599,2.2139645832259935,0.5639657623013526,0.0005450233154363137,0.6818072207450495,0.1827810248822069,,,,,,,,
deltaRIC0.5_short,BLS-G,200,22.957979539193573,9.281137247298286,0.030519068295166395,0.003880505708337492,1.0231509603400082,0.13318280520274145,0.011866319804082696,0.006178692106123829,0.002370619048017139,0.0025135002105404116,0.003241516460158823,-0.24481558470666187,5.144441548732447,5.137400814088613
deltaI0.2,BLS-B,200,5573.875438624892,3.2559738144559414,0.43892701062236106,0.00023316684526421448,5.697036700935087,1.4683062885993603,,,,,,,,
deltaI0.2,BLS-G,200,485.5188530912069,689.3685402923276,0.03704513195774618,0.046674728190253006,17.812967921760084,11.975908453019617,0.021374571109692483,0.008248256858089819,-0.006265006335213907,-0.004849795852828947,0.013634460726395823,191.85472945476803,943.8576651582042,960.8440002579346
deltaC0.2,BLS-B,200,706.4975379461242,2.5247139412432467,0.07538453508295068,0.00015962667096473392,5.436857608489954,1.1395275060498993,,,,,,,,
deltaC0.2,BLS-G,200,338.09505819656226,151.39688607286087,0.035858426377894055,0.013212559130014083,12.419526788820058,4.025875333545489,0.027928424243109706,0.07686825296962184,-0.0077231656508615,-0.006191916983510471,-0.0038729984466103827,1325.7062642293429,1617.1852126651763,2087.9915399779566
