seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,n_iters,converged,rigid_dev,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
1,950.1717794808261,693.1661506539735,649.8823725177599,1946.8216529483168,0.2570105224549948,0.09442599183691434,0.23903585655337223,2.6205539655485204,1.4114978199977486,,,,,,,,,deltaC0.2,EKF-B
2,945.9054834398906,696.3865166189996,640.1429551849408,1932.028209923521,0.1700959624443171,0.08295167246915573,0.14849800158395549,1.5842724172127725,1.0305881790009153,,,,,,,,,deltaC0.2,EKF-B
3,957.1947315691131,684.0611222847609,669.5387480364225,2203.2456785723725,0.15513744936903598,0.07474159090711849,0.13594602894311827,1.6212210884101013,1.3831160320005438,,,,,,,,,deltaC0.2,EKF-B
4,943.3444212960837,672.827910548034,661.2119932200337,1942.9166727686986,0.10271474790643326,0.06816651983714318,0.07683518081435418,1.0872447850561104,1.879732322999189,,,,,,,,,deltaC0.2,EKF-B
5,947.2423250226111,682.7548394482834,656.5926069673577,1941.921866970679,0.11647619333689983,0.07232878605399588,0.0912975920942615,1.0594326573537767,2.0398892750017694,,,,,,,,,deltaC0.2,EKF-B
6,951.7281222981501,679.4013971212825,666.4834284232518,2239.918275799556,0.12578260091181181,0.07348284685585858,0.10208591435696973,1.0954351544015526,1.3581095879999339,,,,,,,,,deltaC0.2,EKF-B
7,954.7458518709952,702.5440824365319,646.5071182116125,1942.7288836500302,0.2292539225489736,0.09104024422144935,0.21040207921070947,2.670146569991521,1.3836169319984037,,,,,,,,,deltaC0.2,EKF-B
8,958.1474378766025,712.6581354773817,640.4411718865362,1977.1201089974954,0.17782602578627252,0.08736013621335144,0.15488803067934184,2.311802915748112,1.865793011002097,,,,,,,,,deltaC0.2,EKF-B
9,950.2024348116514,680.5720819511188,663.1035427372639,1941.9687966669244,0.14466130261611782,0.0750585338569343,0.1236653102929009,2.2698140015974224,1.3677523279984598,,,,,,,,,deltaC0.2,EKF-B
10,943.5665758168055,670.3616580262493,664.0279590852701,1942.1439494113306,0.10347229082654262,0.0695590869754153,0.07660318784514929,0.9389154894239928,1.4098712649974914,,,,,,,,,deltaC0.2,EKF-B
11,936.2212132082257,667.8087871885568,656.1566762708666,1927.3361395148647,0.18906148885742494,0.08222468685337148,0.17024496304105802,1.9637227715561938,0.9831126280005265,,,,,,,,,deltaC0.2,EKF-B
12,945.0297764839142,679.2293435687857,657.060710495121,1937.224484455505,0.11574246130887955,0.07167666812610234,0.09087778934469115,0.9412209742517416,1.9262363079978968,,,,,,,,,deltaC0.2,EKF-B
13,948.7903600543153,677.2772045920774,664.453712061223,1948.3921701458842,0.1503092048854326,0.0779896924064819,0.12849305409878498,2.1654628057936325,1.3236349520011572,,,,,,,,,deltaC0.2,EKF-B
14,964.1850329432948,720.9679150371553,640.2015645395126,1941.5258936197006,0.15522580518147766,0.0790967274216869,0.13356181454823612,1.8218314000548612,1.94543186699957,,,,,,,,,deltaC0.2,EKF-B
15,938.0452091832572,669.7991437060591,656.732762668569,1935.102482529546,0.10572868752472601,0.06914684420662023,0.07998293131641616,0.7965257204159049,1.4338428259979992,,,,,,,,,deltaC0.2,EKF-B
16,950.8060588048099,684.258898631308,660.1681006408934,1947.6735892130198,0.12549455219845415,0.07570854955930331,0.10008545426342955,1.2673341297729692,1.8877172210013669,,,,,,,,,deltaC0.2,EKF-B
17,948.8365024857982,688.3241235710287,653.0701412250122,1939.927547263003,0.13462783459293692,0.07276928067714941,0.11326643649781447,2.5006296493410014,1.9316952940025658,,,,,,,,,deltaC0.2,EKF-B
18,952.2424937305392,688.2390691055053,658.097827547655,1941.706183593585,0.11652708027133162,0.07375667542940932,0.09021370885936421,1.2839506092148718,1.3721815649987548,,,,,,,,,deltaC0.2,EKF-B
19,962.9763428296895,718.3354325517275,641.3405048726974,1947.9421958006694,0.1661459543664804,0.08255077718151238,0.1441868487036071,1.6815178551851961,1.3812425140022242,,,,,,,,,deltaC0.2,EKF-B
20,938.1202653828568,673.4706401011703,653.0749798022595,1928.9639035648013,0.1273650560099194,0.06974006867640044,0.10657476396136589,2.5795955999636955,0.9791303419988253,,,,,,,,,deltaC0.2,EKF-B
21,953.0474488922606,692.9255695280908,654.3344671757839,1940.020790596935,0.18486937312655471,0.08299777226953704,0.16519096500262773,3.2453388782332855,1.4296717239994905,,,,,,,,,deltaC0.2,EKF-B
22,957.8164241506242,709.4972440960925,643.4484928824827,1951.8331455053103,0.17092981547826394,0.0864585764374317,0.14745140345159874,1.4898783861131293,1.481958078999014,,,,,,,,,deltaC0.2,EKF-B
23,953.6265725832459,683.7714617410904,664.7256787918767,1959.496097948982,0.13328579106926444,0.07629912497363098,0.10928652995322825,1.4211818843412856,1.366822793999745,,,,,,,,,deltaC0.2,EKF-B
24,952.1727227786154,690.7354316581504,655.3758139080741,2425.564693963438,0.15588222571640478,0.08160924357355857,0.1328126487110763,1.601404233681084,1.897401076999813,,,,,,,,,deltaC0.2,EKF-B
25,950.908754629403,679.1021127914134,665.6183441230273,1949.7708244820885,0.10970176220129747,0.07113589842099254,0.08351143985052735,0.8461193610633743,1.379507477999141,,,,,,,,,deltaC0.2,EKF-B
26,954.8844382485006,703.8592904220592,645.2800862383018,1941.828362943023,0.1334621522487052,0.07835016589312825,0.10804349858911384,1.4853888589827802,2.086641800000507,,,,,,,,,deltaC0.2,EKF-B
27,950.7143001594784,675.7727669161853,668.7218016650644,1946.1537103452697,0.1570543313231339,0.0764591293560316,0.13718624029207283,2.21119915955351,1.927902653998899,,,,,,,,,deltaC0.2,EKF-B
28,947.1478315996776,680.9187199985606,658.360624323397,1942.664450501879,0.10909849294523988,0.0700096586027224,0.08367274864167433,1.341374292719385,1.4010867160031921,,,,,,,,,deltaC0.2,EKF-B
29,950.1095083265154,683.7569905564716,659.6851185812895,1939.1481344591812,0.15159168012755786,0.08118898270330893,0.12801713389815295,1.2613862168045689,0.9915743249985098,,,,,,,,,deltaC0.2,EKF-B
30,947.2192725785175,675.0072138606226,664.5220926201741,1946.6023580869655,0.14070513502788676,0.0811395236991665,0.11495352416123764,1.0304644575975979,1.377499092999642,,,,,,,,,deltaC0.2,EKF-B
31,945.2865566633147,678.75707838375,657.9175501172939,1942.504299980347,0.13656408386575913,0.07631353740291438,0.11325190069552067,1.3001483325190353,1.8922207190007612,,,,,,,,,deltaC0.2,EKF-B
32,951.8057981405276,684.0373814676768,661.8361867779449,1950.6214144088435,0.10920222497385718,0.07154626709062134,0.08250004608870465,0.9766847863587244,1.4022697850014083,,,,,,,,,deltaC0.2,EKF-B
33,947.145156719909,677.6694006655761,661.7009379618105,1938.0099915136645,0.21413231448623798,0.08660511843684375,0.1958371812699861,2.0959446271769533,1.9027206920000026,,,,,,,,,deltaC0.2,EKF-B
34,951.2042272839834,701.9179230241267,641.950707874379,1939.2837621333888,0.09909887307568642,0.06933801004656948,0.07080132066319694,1.0579267309114968,1.93608544000017,,,,,,,,,deltaC0.2,EKF-B
