scenario,config,est,mode,seed,pos_rms,vel_rms,dv_err_norm,t_star_error,rigid_dev,n_iters,converged,runtime_s,wall_s,n_steps,q_mult,q_pos_R,q_vel_R,q_pos_I,q_vel_I,q_pos_C,q_vel_C
arc0.25,RIC0,FGO,FGO-G,10,31.37392685421217,0.006229228516542658,0.010497723878171295,24.624395456365164,0.010299421891903636,4.0,True,1.3793999859990436,1.4410040410002694,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,FGO,FGO-G,4,57.59978356402028,0.00979062070203291,0.013971148662064241,39.13404296089175,0.0037125316286778357,5.0,True,1.7659236409963341,1.8300929670003825,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,FGO,FGO-G,5,144.05220902771362,0.02231300680429855,0.034995729505120456,35.22935615445749,0.005685597224697004,4.0,True,2.3468221229995834,2.4370284949982306,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,FGO,FGO-G,1,93.5615878669885,0.016720177628453604,0.017202859269373514,-152.39712747079284,0.003565210527023985,4.0,True,2.354373599999235,2.4445206219970714,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,FGO,FGO-G,9,36.73133810385691,0.009048031830743083,0.015798365804795184,164.38704572440292,0.0027394578066539453,5.0,True,2.570289565999701,2.658028459001798,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,FGO,FGO-G,6,31.484723322767127,0.007149196605699997,0.014092647860893103,-19.039803460691473,0.0030901560651425274,4.0,True,3.356031076000363,3.499170019997109,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,FGO,FGO-G,2,200.6263801096153,0.01850360993613652,0.015411248708496418,-99.87253045956277,0.0039816854231062015,5.0,True,3.6924554180004634,3.7744766370014986,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,FGO,FGO-G,14,211.95776947757108,0.020334630489446424,0.027010740646262216,237.3957568696751,0.0027989329278530297,6.0,True,2.1366637270039064,2.194102452995139,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,FGO,FGO-G,13,35.83029957311843,0.0077307569871303316,0.012554687467617967,3.2725757051302935,0.004739121507813778,5.0,True,2.5373682489953353,2.594492967997212,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,FGO,FGO-G,3,24.187250041661628,0.005370062684542593,0.01128088631670827,-36.237449592663324,0.005604609241656516,5.0,True,4.273490291998314,4.416012731002411,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
