config,mode,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
deltaRIC0,FGO-B,200,25.919971063013236,3.6942143405655017,0.008464899764821742,0.0009671366179194062,6.411879820944994,0.9448723627160034,,,,,,,,
deltaRIC0,FGO-G,200,27.061014462874727,8.468425322685777,0.00878202521871988,0.0010437708791143007,16.548883685450004,8.768685469462653,0.022347277403905096,0.009417391537888259,0.0005378174934853355,7.437226741297043e-05,-0.0003376365848598846,31.49724523744562,516.7223349561733,516.3903930582894
deltaRIC1,FGO-B,200,141.36340557336044,2.8779915143949153,0.11560552758432198,0.0006308931224006365,6.316236694544996,0.8906810138939344,,,,,,,,
deltaRIC1,FGO-G,200,26.103781867173367,3.673106264395871,0.022970789903762192,0.0022500272233766687,8.875747656765066,1.027368233161864,0.023639981165899302,0.009106638705065825,0.011766051560004378,0.0035976700824965862,0.004266354007734723,0.2085494518428368,4.304258817705956,4.29854668740662
deltaRIC0.5,FGO-B,200,74.14254587807984,2.922334594075895,0.05826386452547991,0.0006282759265970957,6.4204577189350225,0.9856400444943584,,,,,,,,
deltaRIC0.5,FGO-G,200,26.123358567952405,3.681485492887545,0.013812942366965673,0.0018622271388830701,8.650559390250118,1.0110482080935521,0.02058809633031376,0.008854613606635297,0.005571087261513572,0.001149875962939125,0.001451823669965884,0.4568499113968664,8.707341287970568,8.697552252514168
deltaI0.2,FGO-B,200,31.29503286089961,3.360908502950679,0.016972368336930516,0.0007046330428775641,6.329710131485008,0.8890485507611706,,,,,,,,
deltaI0.2,FGO-G,200,27.365715896323557,7.3322823251430425,0.011167076805968615,0.0022852687945561093,14.809505078225065,10.277983060128381,0.01994945480380339,0.00903267725014126,-0.0014359956065603226,0.000661556047354414,-0.0005596344743812254,-8.701068187601185,207.61701899726918,207.28003047093364
deltaC0.2,FGO-B,200,29.33741487630658,3.3465018592218856,0.015956393311733794,0.0006287425247831885,6.306902678484985,0.9081111881609085,,,,,,,,
deltaC0.2,FGO-G,200,28.550171748591694,14.055518253817585,0.01072757340033605,0.0019020555988133565,14.724542842624887,12.111272545562395,0.01988480006247588,0.008991569696880706,8.634896404702913e-05,-0.00016457825662669678,0.0005347285717646355,13.530345400409415,150.69111632336072,150.92164762796986
