config,mode,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,iters_mean,iters_median,iters_max,n_converged,rigid_dev_mean,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
deltaC0.2,EKF-B,200,952.4440033312255,7.0894751898678745,0.15052763284946866,0.037943464197546156,1.5416670802499721,0.3070244086993793,,,,,,,,,,,,,
deltaC0.2,EKF-G,200,158.95396914061814,35.70181910239014,0.12647923545793197,0.04420321426367329,2.6798375177550406,0.4604221041136834,,,,,,0.014714236832926355,0.016035159274335513,-0.0015926885818572777,5.757891858677526e-05,0.0013664346993831297,-0.5466905990743908,77.33563863648297,77.14399438003733
deltaI0.2,EKF-B,200,2584.7961700620995,4.068331561345015,0.2906166279188027,0.021577470280587607,1.565586150195013,0.3582727098426899,,,,,,,,,,,,,
deltaI0.2,EKF-G,200,161.31054815993838,36.29616549526681,0.12668359327068524,0.04414641537840583,2.3434167184750914,0.401389229589703,,,,,,0.019865390912328612,0.019173488423849503,-0.00444286856547626,-0.0007235946093323516,0.0014984776954674811,-27.41787105091058,86.15264360522565,90.20480177425448
deltaRIC0,EKF-B,200,146.88193090926595,37.28452187636562,0.12393240791369213,0.04472217926525239,1.5279104249649935,0.26802474346822575,,,,,,,,,,,,,
deltaRIC0,EKF-G,200,158.70111802530747,35.837401540873955,0.1262942159624546,0.04426206730302263,2.33635096112499,0.43926976789323574,,,,,,0.010566451707544867,0.013021433521474569,-0.000952066006238525,0.000357294922658222,0.001244546638125722,0.14574851189529,146.36309983353678,145.99680630255637
deltaRIC0.5,EKF-B,200,6442.888036422756,4.054293396916324,0.699406496393381,0.009408963727307136,1.548439886004926,0.27931791382479393,,,,,,,,,,,,,
deltaRIC0.5,EKF-G,200,162.41464638057178,36.323815194150896,0.12940911960960552,0.04327221065022484,2.343127154484973,0.4125287717770593,,,,,,0.11233192847912492,0.1213478260650947,-0.047997342418228346,-0.035661285229507615,-0.038198250306128854,-26.628374004236576,31.714887042132045,41.35063714024515
deltaRIC1,EKF-B,200,12876.749748916181,3.9414188070701903,1.3791800545814872,0.004825970221649808,1.5413833904449348,0.29689912121431106,,,,,,,,,,,,,
deltaRIC1,EKF-G,200,166.74069242978817,38.352877020436495,0.13601413406371027,0.042545775353487345,2.339062863844865,0.3963443828343849,,,,,,0.20614563717997483,0.21541690298669225,-0.09456303664553761,-0.08073046138184627,-0.08370128001479923,-30.523936057806896,43.81217373233156,53.30684483982641
